Park Name,Type of Unit,State,Reg,Alpha,Unit
Thomas Edison,National Historical Park,NJ,NER,EDIS,1
Effigy Mounds,National Monument,IA,MWR,EFMO,1
Eisenhower,National Historic Site,PA,NER,EISE,1
El Malpais,National Monument,NM,IMR,ELMA,1
El Morro,National Monument,NM,IMR,ELMO,1
Eleanor Roosevelt,National Historic Site,NY,NER,ELRO,1
Eugene O'Neill,National Historic Site,CA,PWR,EUON,1
Everglades,National Park,FL,SER,EVER,1
Federal Hall,National Memorial,NY,NER,FEHA,1
Fire Island,National Seashore,NY,NER,FIIS,1
First Ladies,National Historic Site,OH,MWR,FILA,1
Florissant Fossil Beds,National Monument,CO,IMR,FLFO,1
Flight 93,National Memorial,PA,NER,FLNI,1
Fort Bowie,National Historic Site,AZ,IMR,FOBO,1
Fossil Butte,National Monument,WY,IMR,FOBU,1
Fort Caroline,National Memorial,FL,SER,FOCA,1
Fort Davis,National Historic Site,TX,IMR,FODA,1
Fort Donelson,National Battlefield,TN,SER,FODO,1
Fort Frederica,National Monument,GA,SER,FOFR,1
Fort Laramie,National Historic Site,WY,IMR,FOLA,1
Fort Larned,National Historic Site,KS,MWR,FOLS,1
Fort Matanzas,National Monument,FL,SER,FOMA,1
Fort McHenry,National Monument and Historic Shrine,MD,NER,FOMC,1
Fort Monroe,National Monument,VA,NER,FOMR,1
Fort Necessity,National Battlefield,PA,NER,FONE,1
Fort Point,National Historic Site,CA,PWR,FOPO,1
Fort Pulaski,National Monument,GA,SER,FOPU,1
Fort Raleigh,National Historic Site,NC,SER,FORA,1
Fort Scott,National Historic Site,KS,MWR,FOSC,1
Fort Smith,National Historic Site,"AR,OK",MWR,FOSM,1
Fort Stanwix,National Monument,NY,NER,FOST,1
Fort Sumter,National Monument,SC,SER,FOSU,1
Ford's Theatre,National Historic Site,DC,NCR,FOTH,1
Fort Union,National Monument,NM,IMR,FOUN,1
Fort Union Trading Post,National Historic Site,ND,MWR,FOUS,1
Fort Vancouver,National Historic Site,WA,PWR,FOVA,1
Fort Washington,Park,MD,NCR,FOWA,1
Franklin Delano Roosevelt,Memorial,DC,NCR,FRDE,1
Frederick Douglass,National Historic Site,DC,NCR,FRDO,1
Friendship Hill,National Historic Site,PA,NER,FRHI,1
Frederick Law Olmsted,National Historic Site,MA,NER,FRLA,1
Fredericksburg & Spotsylvania,National Military Park,VA,NER,FRSP,1
First State,National Monument,DE,NER,FRST,1
Gates Of The Arctic,National Park & Preserve,AK,AKR,GAAR,2
Gauley River,National Recreation Area,WV,NER,GARI,1
Gateway,National Recreation Area,"NY,NJ",NER,GATE,1
General Grant,National Memorial,NY,NER,GEGR,1
George Rogers Clark,National Historical Park,IN,MWR,GERO,1
Gettysburg,National Military Park,PA,NER,GETT,1
George Washington Birthplace,National Monument,VA,NER,GEWA,1
Gila Cliff Dwellings,National Monument,NM,IMR,GICL,1
Glacier,National Park,MT,IMR,GLAC,1
Glacier Bay,National Park & Preserve,AK,AKR,GLBA,2
Glen Canyon,National Recreation Area,"AZ,UT",IMR,GLCA,1
Golden Gate,National Recreation Area,CA,PWR,GOGA,1
Governors Island,National Monument,NY,NER,GOIS,1
Golden Spike,National Historic Site,UT,IMR,GOSP,1
Great Basin,National Park,NV,PWR,GRBA,1
Grand Canyon,National Park,AZ,IMR,GRCA,1
Greenbelt,Park,MD,NCR,GREE,1
Great Egg Harbor River,,NJ,NER,GREG,1
Grant-Kohrs Ranch,National Historic Site,MT,IMR,GRKO,1
Grand Portage,National Monument,MN,MWR,GRPO,1
Great Sand Dunes,National Park & Preserve,CO,IMR,GRSA,2
