,Unnamed: 0,index,website page,website location,park, bus ,shuttle,transit,public transportation,ferry,ferry service,subway,train,metro,total
6039,6039,83,https://home.nps.gov/grca/planyourvisit/campsite-information.htm,,GRCA,0,0,0,0,0,0,0,1,0,1
6040,6040,84,https://home.nps.gov/grca/planyourvisit/trail-distances.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6041,6041,85,https://home.nps.gov/grca/planyourvisit/backcountry-permit.htm,,GRCA,0,0,0,0,1,0,0,0,0,1
6042,6042,86,https://home.nps.gov/grca/planyourvisit/trail-closures.htm,,GRCA,2,5,0,0,0,0,0,0,0,7
6043,6043,87,https://home.nps.gov/grca/planyourvisit/hiking-faq.htm,,GRCA,1,4,0,0,0,0,0,0,0,5
6044,6044,88,https://home.nps.gov/grca/planyourvisit/weather-dangers.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6045,6045,89,https://home.nps.gov/grca/planyourvisit/hike-smart.htm,,GRCA,0,0,0,0,0,0,0,1,0,1
6046,6046,90,https://home.nps.gov/grca/planyourvisit/winter-recreation.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6047,6047,91,https://home.nps.gov/grca/planyourvisit/hike-tips.htm,,GRCA,0,0,0,0,0,0,0,1,0,1
6048,6048,92,https://home.nps.gov/grca/planyourvisit/bc-food-storage.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6049,6049,93,https://home.nps.gov/grca/planyourvisit/safe-water.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6050,6050,94,https://home.nps.gov/grca/planyourvisit/guided-hikes.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6051,6051,95,https://home.nps.gov/grca/planyourvisit/private-stock.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6052,6052,96,https://home.nps.gov/grca/planyourvisit/whitewater-rafting.htm,,GRCA,0,0,0,0,2,0,0,0,0,2
6053,6053,97,https://home.nps.gov/grca/planyourvisit/one-day-river-trip.htm,,GRCA,0,0,0,0,2,0,0,0,0,2
6054,6054,98,https://home.nps.gov/grca/planyourvisit/overview-diamond-ck.htm,,GRCA,0,0,0,0,4,0,0,0,0,4
6055,6055,99,https://home.nps.gov/grca/planyourvisit/river-concessioners.htm,,GRCA,0,0,0,0,1,0,0,0,0,1
6056,6056,100,https://home.nps.gov/grca/planyourvisit/overview-lees-ferry-diamond-ck.htm,,GRCA,0,0,2,0,4,0,0,0,0,6
6057,6057,101,https://home.nps.gov/grca/planyourvisit/weightedlottery.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6058,6058,102,https://home.nps.gov/grca/planyourvisit/river-faq.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6059,6059,103,https://home.nps.gov/grca/planyourvisit/river_support.htm,,GRCA,0,1,0,0,0,0,0,0,0,1
6060,6060,104,https://home.nps.gov/grca/planyourvisit/noncommercial-riv-docs.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6061,6061,105,https://home.nps.gov/grca/planyourvisit/bicycling.htm,,GRCA,2,10,0,0,0,0,0,0,0,12
6062,6062,106,https://home.nps.gov/grca/planyourvisit/photography.htm,,GRCA,1,4,0,0,0,0,0,0,0,5
6063,6063,107,https://home.nps.gov/grca/planyourvisit/guidedtours.htm,,GRCA,1,0,0,0,1,0,0,0,0,2
6064,6064,108,https://home.nps.gov/grca/planyourvisit/mule_trips.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6065,6065,109,https://home.nps.gov/grca/planyourvisit/religious-services.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6066,6066,110,https://home.nps.gov/grca/planyourvisit/calendar.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6067,6067,111,https://home.nps.gov/grca/planyourvisit/safety.htm,,GRCA,1,0,0,0,0,0,0,0,0,1
6068,6068,112,https://home.nps.gov/grca/planyourvisit/lightning-danger.htm,NPS.govPark HomePlan Your VisitSafetyLightning Danger,GRCA,5,11,0,0,0,0,0,4,0,20
6069,6069,113,https://home.nps.gov/grca/planyourvisit/accessibility.htm,,GRCA,0,3,0,0,0,0,0,0,0,3
6070,6070,114,https://home.nps.gov/planyourvisit/index.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6071,6071,115,https://home.nps.gov/planyourvisit/event-search.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6072,6072,116,https://home.nps.gov/planyourvisit/passes.htm,,GRCA,0,0,0,0,0,0,0,0,0,0
6073,6073,117,https://home.nps.gov/planyourvisit/trip-ideas.htm,,GRCA,0,0,0,0,0,0,0,2,0,2
6074,6074,118,https://home.nps.gov/grca/planyourvisit/grand-canyon-national-park-public-health-update.htm,,GRCA,6,11,1,0,0,0,0,5,0,23
6075,6075,119,https://home.nps.gov/grca/planyourvisit/key-messages.htm,,GRCA,2,2,0,0,0,0,0,0,0,4
6076,6076,120,https://home.nps.gov/grca/planyourvisit/directions.htm#onthisPage-0,,GRCA,3,1,0,1,0,0,0,1,0,6
6077,6077,121,https://home.nps.gov/grca/planyourvisit/directions.htm#onthisPage-1,,GRCA,3,1,0,1,0,0,0,1,0,6
6078,6078,122,https://home.nps.gov/grca/planyourvisit/directions.htm#onthisPage-2,,GRCA,3,1,0,1,0,0,0,1,0,6
6079,6079,123,https://home.nps.gov/grca/planyourvisit/directions.htm#onthisPage-3,,GRCA,3,1,0,1,0,0,0,1,0,6
6080,6080,124,https://home.nps.gov/grca/planyourvisit/directions.htm#CP_JUMP_1914889,,GRCA,3,1,0,1,0,0,0,1,0,6
6081,6081,125,https://home.nps.gov/grca/planyourvisit/directions.htm#CP_JUMP_1964481,,GRCA,3,1,0,1,0,0,0,1,0,6
6082,6082,126,https://home.nps.gov/grca/planyourvisit/directions.htm#CP_JUMP_2140069,,GRCA,3,1,0,1,0,0,0,1,0,6
6083,6083,127,https://home.nps.gov/grca/planyourvisit/directions.htm#collapseCollapsible1557686842185,,GRCA,3,1,0,1,0,0,0,1,0,6
6084,6084,0,https://home.nps.gov/gree/planyourvisit/directions.htm#GlobalNav-toggle,NPS.govPlan Your VisitDirections & Transportation,GREE,0,0,1,0,0,0,3,0,3,7
6085,6085,1,https://home.nps.gov/gree/planyourvisit/directions.htm#LocalNav-desktop-nav,NPS.govPlan Your VisitDirections & Transportation,GREE,0,0,1,0,0,0,3,0,3,7
6086,6086,2,https://home.nps.gov/gree/planyourvisit/directions.htm#main,NPS.govPlan Your VisitDirections & Transportation,GREE,0,0,1,0,0,0,3,0,3,7
6087,6087,3,https://home.nps.gov/gree/planyourvisit/directions.htm#ParkFooter,NPS.govPlan Your VisitDirections & Transportation,GREE,0,0,1,0,0,0,3,0,3,7
6088,6088,4,https://home.nps.gov/gree/planyourvisit/directions.htm#GlobalFooter,NPS.govPlan Your VisitDirections & Transportation,GREE,0,0,1,0,0,0,3,0,3,7
6089,6089,5,https://home.nps.gov/gree/planyourvisit/directions.htm#GlobalFooterSearch,NPS.govPlan Your VisitDirections & Transportation,GREE,0,0,1,0,0,0,3,0,3,7
6090,6090,6,https://home.nps.gov/gree/planyourvisit/index.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6091,6091,7,https://home.nps.gov/gree/planyourvisit/campground.htm,NPS.govPlan Your VisitCampground,GREE,0,0,1,0,0,0,2,0,2,5
6092,6092,8,https://home.nps.gov/gree/planyourvisit/basicinfo.htm,,GREE,0,0,1,0,0,0,2,0,2,5
6093,6093,9,https://home.nps.gov/gree/planyourvisit/hours.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6094,6094,10,https://home.nps.gov/gree/planyourvisit/fees.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6095,6095,11,https://home.nps.gov/gree/planyourvisit/conditions.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6096,6096,12,https://home.nps.gov/gree/planyourvisit/permits.htm,,GREE,0,0,1,0,0,0,0,0,0,1
6097,6097,13,https://home.nps.gov/gree/planyourvisit/campgroundreservations.htm,,GREE,0,0,1,0,0,0,0,0,0,1
6098,6098,14,https://home.nps.gov/gree/planyourvisit/reservedpicnicfees.htm,NPS.govPlan Your VisitBasic InformationPermits & ReservationsReserved Picnic Areas,GREE,0,0,0,0,0,0,2,0,2,4
6099,6099,15,https://home.nps.gov/gree/planyourvisit/weather.htm,NPS.govPlan Your VisitBasic InformationWeather,GREE,0,0,0,0,0,0,2,0,2,4
6100,6100,16,https://home.nps.gov/gree/planyourvisit/pets.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6101,6101,17,https://home.nps.gov/gree/planyourvisit/directions.htm,,GREE,0,0,1,0,0,0,1,0,1,3
6102,6102,18,https://home.nps.gov/gree/planyourvisit/maps.htm,NPS.govPlan Your VisitDirections & TransportationMaps,GREE,0,0,0,0,0,0,2,0,2,4
6103,6103,19,https://home.nps.gov/gree/planyourvisit/metro-subway-information.htm,NPS.govPlan Your VisitDirections & TransportationMetro subway information,GREE,0,0,0,0,0,0,9,1,16,26
6104,6104,20,https://home.nps.gov/gree/planyourvisit/accessibility.htm,NPS.govPlan Your VisitAccessibility,GREE,0,0,0,0,0,0,2,0,2,4
6105,6105,21,https://home.nps.gov/gree/planyourvisit/blind-low-vision.htm,NPS.govPlan Your VisitAccessibilityBlind / Low Vision,GREE,0,0,1,0,0,0,2,0,2,5
6106,6106,22,https://home.nps.gov/gree/planyourvisit/cognitive-learning-disabilities.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6107,6107,23,https://home.nps.gov/gree/planyourvisit/physical-mobility.htm,,GREE,0,0,1,0,0,0,0,0,0,1
6108,6108,24,https://home.nps.gov/gree/planyourvisit/hearingimpaired.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6109,6109,25,https://home.nps.gov/gree/planyourvisit/service-animals.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6110,6110,26,https://home.nps.gov/gree/planyourvisit/nearbyattractions.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6111,6111,27,https://home.nps.gov/gree/planyourvisit/things2do.htm,NPS.govPlan Your VisitThings To Do,GREE,0,0,0,0,0,0,2,0,2,4
6112,6112,28,https://home.nps.gov/gree/planyourvisit/greenbelt-park-campfire-programs.htm,NPS.govPlan Your VisitThings To DoGreenbelt Park Campfire programs,GREE,0,0,0,0,0,0,2,0,2,4
6113,6113,29,https://home.nps.gov/gree/planyourvisit/sweetgum-picnic-area-unreserved-picnic-area.htm,NPS.govPlan Your VisitThings To DoUnreserved Picnic Area,GREE,0,0,0,0,0,0,2,0,2,4
6114,6114,30,https://home.nps.gov/gree/planyourvisit/greenbelt-park-trail-system.htm,NPS.govPlan Your VisitThings To DoGreenbelt Park trail system,GREE,0,0,0,0,0,0,2,0,2,4
6115,6115,31,https://home.nps.gov/gree/planyourvisit/justforkids.htm,NPS.govPlan Your VisitThings To DoFor Kids,GREE,0,0,0,0,0,0,2,0,2,4
6116,6116,32,https://home.nps.gov/gree/planyourvisit/calendar.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6117,6117,33,https://home.nps.gov/gree/planyourvisit/safety.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6118,6118,34,https://home.nps.gov/planyourvisit/index.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6119,6119,35,https://home.nps.gov/planyourvisit/event-search.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6120,6120,36,https://home.nps.gov/planyourvisit/passes.htm,,GREE,0,0,0,0,0,0,0,0,0,0
6121,6121,37,https://home.nps.gov/planyourvisit/trip-ideas.htm,,GREE,0,0,0,0,0,0,0,2,0,2
