,park,wheelchair,disability,impaired,disabilities,handicap, ada ,braille,disabled,handicapped,total,FinalCluster,Label
81,CHYO,0,2,0,1,0,0,0,0,0,3,3.0,Low Visitation Sites
82,CIRO,2,2,0,1,0,1,0,0,0,6,7.0,Rural Low Visitation
83,CLBA,1,2,0,1,0,0,0,0,0,4,2.0,Urban Sites
84,COGA,1,5,0,2,0,0,0,0,0,8,,
85,COLM,3,11,2,2,1,2,0,0,0,21,8.0,Rural High Visitation
86,COLO,0,2,0,9,0,0,0,0,0,11,5.0,Urban High Visitation
87,CONG,21,4,1,2,0,0,0,0,0,28,4.0,Urban Low Visitation
88,CORO,2,3,0,2,0,0,0,0,0,7,4.0,Urban Low Visitation
89,COWP,2,3,2,2,2,0,2,0,2,15,4.0,Urban Low Visitation
90,CRLA,10,6,0,2,0,0,2,0,0,20,8.0,Rural High Visitation
91,CRMO,8,4,0,7,0,0,1,0,0,20,8.0,Rural High Visitation
92,CRMP,0,2,0,1,0,0,0,0,0,3,,
93,CUGA,3,3,0,2,0,0,0,0,0,8,5.0,Urban High Visitation
94,CUIS,20,5,7,4,1,2,0,0,0,39,1.0,Transit Parks
95,CURE,0,4,0,2,0,0,0,2,0,8,8.0,Rural High Visitation
96,CUVA,32,58,0,15,0,7,14,0,0,126,1.0,Transit Parks
97,DAAV,8,5,0,1,0,0,0,0,0,14,2.0,Urban Sites
98,DELA,0,2,0,1,0,0,0,0,0,3,,
99,DENA,60,2,4,90,0,2,12,0,0,170,1.0,Transit Parks
100,DEPO,6,3,0,2,2,4,0,1,0,18,1.0,Transit Parks
101,DESO,1,2,1,1,0,1,0,0,0,6,3.0,Low Visitation Sites
102,DETO,10,5,0,5,0,2,2,0,0,24,8.0,Rural High Visitation
103,DEVA,3,4,0,3,0,2,2,7,0,21,8.0,Rural High Visitation
104,DEWA,2,3,3,1,0,2,0,0,0,11,1.0,Transit Parks
105,DINO,0,2,0,1,0,0,0,0,0,3,1.0,Transit Parks
106,DRTO,2,2,0,1,0,0,0,0,0,5,1.0,Transit Parks
107,EBLA,0,2,0,1,0,0,0,0,0,3,,
108,EDAL,3,3,0,1,0,0,0,0,0,7,2.0,Urban Sites
109,EDIS,6,5,0,1,0,0,0,0,0,12,4.0,Urban Low Visitation
110,EFMO,3,2,0,2,0,0,1,0,0,8,3.0,Low Visitation Sites
111,EISE,0,2,0,1,0,0,0,0,0,3,1.0,Transit Parks
112,ELMA,6,2,0,1,1,1,1,0,0,12,7.0,Rural Low Visitation
113,ELMO,4,2,0,1,1,0,1,0,1,10,7.0,Rural Low Visitation
114,ELRO,6,4,1,58,0,13,2,0,0,84,4.0,Urban Low Visitation
115,EUON,2,6,0,2,0,0,1,0,0,11,1.0,Transit Parks
116,EVER,20,2,2,1,0,0,2,3,0,30,8.0,Rural High Visitation
117,FEHA,12,2,0,1,1,0,0,0,1,17,2.0,Urban Sites
118,FIIS,1,2,0,1,0,0,0,0,0,4,1.0,Transit Parks
119,FILA,4,2,0,1,0,0,0,0,0,7,3.0,Low Visitation Sites
120,FLFO,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
121,FLNI,11,6,0,3,0,1,4,0,0,25,8.0,Rural High Visitation
122,FOBO,1,2,0,1,1,3,0,0,0,8,7.0,Rural Low Visitation
123,FOBU,4,7,0,2,1,1,0,0,1,16,7.0,Rural Low Visitation
124,FOCA,3,5,2,4,0,0,4,0,0,18,4.0,Urban Low Visitation
125,FODA,0,2,0,3,0,0,0,0,0,5,7.0,Rural Low Visitation
126,FODO,0,2,0,1,1,0,0,0,1,5,7.0,Rural Low Visitation
127,FOFR,3,2,0,1,0,0,0,0,0,6,4.0,Urban Low Visitation
128,FOLA,0,2,0,2,0,0,0,0,0,4,7.0,Rural Low Visitation
129,FOLS,12,2,0,1,15,0,0,0,0,30,7.0,Rural Low Visitation
130,FOMA,3,3,0,4,2,0,2,0,2,16,1.0,Transit Parks
131,FOMC,0,2,0,5,0,7,1,0,0,15,5.0,Urban High Visitation
132,FOMR,2,2,0,2,0,0,0,0,0,6,,
133,FONE,3,2,0,2,1,0,1,0,1,10,4.0,Urban Low Visitation
134,FOPO,0,2,0,2,0,0,1,0,0,5,5.0,Urban High Visitation
135,FOPU,0,2,0,1,0,0,0,0,0,3,4.0,Urban Low Visitation
136,FORA,3,3,0,3,0,0,5,0,0,14,8.0,Rural High Visitation
137,FOSC,8,3,4,6,0,1,10,1,0,33,7.0,Rural Low Visitation
138,FOSM,2,5,0,2,0,0,2,0,0,11,3.0,Low Visitation Sites
139,FOST,0,3,0,3,16,0,5,0,0,27,6.0,High Seasonal Variation
140,FOSU,3,3,0,3,0,1,0,0,0,10,1.0,Transit Parks
141,FOTH,2,2,0,2,0,0,2,0,0,8,2.0,Urban Sites
142,FOUN,11,7,0,1,2,0,0,0,2,23,7.0,Rural Low Visitation
143,FOUS,4,2,0,2,0,1,2,0,0,11,7.0,Rural Low Visitation
144,FOVA,10,4,0,3,0,1,0,0,0,18,5.0,Urban High Visitation
145,FOWA,0,2,0,1,0,0,0,0,0,3,4.0,Urban Low Visitation
146,FRDE,5,2,0,2,0,0,5,0,0,14,2.0,Urban Sites
147,FRDO,4,6,0,2,0,0,0,0,0,12,2.0,Urban Sites
148,FRHI,0,2,0,2,0,0,0,0,0,4,6.0,High Seasonal Variation
149,FRLA,3,2,0,1,0,0,0,0,0,6,2.0,Urban Sites
150,FRSP,5,2,2,1,0,0,0,0,0,10,5.0,Urban High Visitation
151,FRST,0,2,0,1,0,0,0,0,0,3,,
152,GAAR,5,3,0,4,0,1,5,1,0,19,6.0,High Seasonal Variation
153,GARI,6,2,2,1,1,0,0,0,1,13,6.0,High Seasonal Variation
154,GATE,3,2,1,2,0,0,0,0,0,8,5.0,Urban High Visitation
