,park,bike,cycl,pedestrian,on foot,on-foot,walking,total,FinalCluster,Label
315,POHE,8,47,1,2,0,4,62,,
316,POPO,0,2,0,0,0,1,3,,
317,PORE,36,149,6,3,0,13,207,1.0,Transit Parks
318,PRWI,4,27,0,0,0,1,32,4.0,Urban Low Visitation
319,PUHE,4,22,0,0,0,14,40,3.0,Low Visitation Sites
320,PUHO,0,7,0,0,0,18,25,8.0,Rural High Visitation
321,PULL,0,2,0,1,0,5,8,,
322,RABR,0,2,0,0,0,1,3,7.0,Rural Low Visitation
323,REDW,33,44,2,4,0,38,121,8.0,Rural High Visitation
324,RICH,0,3,0,0,0,27,30,4.0,Urban Low Visitation
325,RIGR,0,5,0,0,0,1,6,7.0,Rural Low Visitation
326,RIRA,3,3,0,1,0,8,15,3.0,Low Visitation Sites
327,ROCR,29,6,0,0,0,3,38,5.0,Urban High Visitation
328,ROLA,12,99,1,7,0,2,121,1.0,Transit Parks
329,ROMO,0,38,1,0,0,2,41,1.0,Transit Parks
330,RORI,3,3,0,0,0,6,12,2.0,Urban Sites
331,ROWI,0,2,0,0,0,1,3,2.0,Urban Sites
332,RRBH,0,2,0,0,0,0,2,,
333,RUCA,0,2,0,1,0,7,10,7.0,Rural Low Visitation
334,SAAN,129,44,16,1,0,6,196,5.0,Urban High Visitation
335,SACN,24,43,0,2,0,4,73,6.0,High Seasonal Variation
336,SACR,0,2,0,1,0,6,9,3.0,Low Visitation Sites
337,SAFR,16,13,0,0,0,4,33,5.0,Urban High Visitation
338,SAGA,0,3,0,0,0,2,5,4.0,Urban Low Visitation
339,SAGU,0,2,0,0,0,0,2,5.0,Urban High Visitation
340,SAHI,14,51,7,0,0,12,84,4.0,Urban Low Visitation
341,SAIR,0,2,0,0,0,2,4,4.0,Urban Low Visitation
342,SAJH,4,42,0,1,0,6,53,6.0,High Seasonal Variation
343,SAJU,0,2,0,8,0,12,22,5.0,Urban High Visitation
344,SAMA,0,2,0,0,0,0,2,2.0,Urban Sites
345,SAMO,57,16,0,2,0,16,91,5.0,Urban High Visitation
346,SAND,0,9,0,0,0,5,14,7.0,Rural Low Visitation
347,SAPA,0,2,0,0,0,3,5,4.0,Urban Low Visitation
348,SAPU,0,14,0,1,0,4,19,7.0,Rural Low Visitation
349,SARA,8,19,4,1,0,10,42,6.0,High Seasonal Variation
350,SARI,0,2,0,0,0,0,2,6.0,High Seasonal Variation
351,SCBL,0,3,1,0,0,2,6,1.0,Transit Parks
352,SEKI,3,29,1,2,0,13,48,,
353,SEMO,0,2,0,0,0,1,3,,
354,SEQU,0,2,0,0,0,0,2,8.0,Rural High Visitation
355,SHEN,2,5,0,1,0,1,9,8.0,Rural High Visitation
356,SHIL,0,11,2,0,0,4,17,8.0,Rural High Visitation
357,SITK,0,2,4,0,0,14,20,8.0,Rural High Visitation
358,SLBE,29,60,1,3,0,8,101,1.0,Transit Parks
359,SPAR,0,2,0,1,0,7,10,4.0,Urban Low Visitation
360,STEA,0,3,1,0,0,6,10,4.0,Urban Low Visitation
361,STLI,0,2,0,0,0,4,6,1.0,Transit Parks
362,STON,0,2,0,0,0,1,3,2.0,Urban Sites
363,STRI,21,53,7,5,0,12,98,4.0,Urban Low Visitation
364,SUCR,0,10,3,0,0,3,16,7.0,Rural Low Visitation
365,TAPR,9,20,1,8,0,16,54,7.0,Rural Low Visitation
366,THIS,5,32,1,15,0,6,59,2.0,Urban Sites
367,THJE,9,21,0,0,0,2,32,2.0,Urban Sites
368,THKO,0,3,0,7,0,16,26,2.0,Urban Sites
369,THRB,0,2,0,1,0,5,8,2.0,Urban Sites
370,THRI,0,3,0,0,0,24,27,3.0,Low Visitation Sites
371,THRO,1,51,1,3,0,1,57,8.0,Rural High Visitation
372,THST,0,2,0,0,0,1,3,7.0,Rural Low Visitation
373,TICA,0,9,0,1,0,16,26,4.0,Urban Low Visitation
374,TIMU,3,3,2,0,0,0,8,5.0,Urban High Visitation
375,TONT,0,2,0,0,0,0,2,7.0,Rural Low Visitation
376,TUAI,0,2,0,1,0,5,8,7.0,Rural Low Visitation
377,TUIN,0,2,0,1,0,4,7,7.0,Rural Low Visitation
378,TUMA,0,2,0,0,0,0,2,7.0,Rural Low Visitation
379,TUPE,0,6,0,1,0,5,12,,
380,TUSK,35,18,0,0,0,0,53,7.0,Rural Low Visitation
381,TUZI,0,2,0,0,0,0,2,7.0,Rural Low Visitation
382,ULSG,1,34,0,1,0,9,45,4.0,Urban Low Visitation
383,UPDE,0,2,0,0,0,2,4,8.0,Rural High Visitation
384,VAFO,31,68,3,0,0,25,127,5.0,Urban High Visitation
385,VALL,15,20,5,2,0,6,48,7.0,Rural Low Visitation
386,VALR,2,6,1,1,0,6,16,,
387,VAMA,0,2,1,0,0,1,4,4.0,Urban Low Visitation
388,VICK,0,10,9,0,0,6,25,8.0,Rural High Visitation
389,VICR,0,2,0,1,0,4,7,,
390,VIIS,0,3,1,0,0,1,5,4.0,Urban Low Visitation
391,VIVE,30,13,0,0,0,2,45,2.0,Urban Sites
392,VOYA,0,3,0,0,0,4,7,8.0,Rural High Visitation
393,WABA,1,3,0,1,0,13,18,3.0,Low Visitation Sites
394,WACA,0,10,3,0,0,5,18,7.0,Rural Low Visitation
395,WACO,0,2,0,0,0,0,2,4.0,Urban Low Visitation
396,WAMO,11,20,0,0,0,2,33,2.0,Urban Sites
397,WAPA,0,2,0,0,0,0,2,4.0,Urban Low Visitation
398,WASH,0,2,0,1,0,4,7,,
399,WEFA,0,2,0,1,0,13,16,7.0,Rural Low Visitation
400,WHHO,0,16,0,0,0,0,16,2.0,Urban Sites
401,WHHO,0,16,0,0,0,0,16,4.0,Urban Low Visitation
402,WHIS,5,22,0,0,0,8,35,8.0,Rural High Visitation
403,WHMI,0,3,1,1,0,8,13,4.0,Urban Low Visitation
404,WHSA,0,20,0,0,0,2,22,8.0,Rural High Visitation
405,WICA,6,7,0,1,0,15,29,8.0,Rural High Visitation
406,WICL,0,2,0,1,0,5,8,4.0,Urban Low Visitation
407,WICR,0,6,2,1,0,6,15,4.0,Urban Low Visitation
408,WIHO,0,2,0,0,0,0,2,3.0,Low Visitation Sites
409,WORI,0,2,0,0,0,0,2,4.0,Urban Low Visitation
410,WOTR,0,14,0,0,0,3,17,1.0,Transit Parks
411,WRBR,0,2,0,0,0,0,2,8.0,Rural High Visitation
412,WRST,5,15,6,5,0,3,34,6.0,High Seasonal Variation
413,WUPA,0,12,4,1,0,4,21,7.0,Rural Low Visitation
414,WWII,11,19,0,0,0,2,32,2.0,Urban Sites
415,WWIM,28,3,0,0,0,2,33,2.0,Urban Sites
416,YELL,324,1173,2,5,0,8,1512,8.0,Rural High Visitation
417,YOSE,1,9,0,2,0,2,14,1.0,Transit Parks
418,YUCH,2,2,0,0,0,1,5,6.0,High Seasonal Variation
419,YUHO,0,2,0,1,0,4,7,,
420,ZION,11,44,12,0,0,8,75,1.0,Transit Parks
