,park, ev ,electric vehicle, charger , alternative fuel , electric car , charging port , nrel , renewable energy ,total,FinalCluster,Label
85,COLM,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
86,COLO,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
87,CONG,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
88,CORO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
89,COWP,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
90,CRLA,4,3,0,0,0,0,0,0,7,8.0,Rural High Visitation
91,CRMO,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
92,CRMP,0,0,0,0,0,0,0,0,0,,
93,CUGA,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
94,CUIS,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
95,CURE,0,7,0,0,0,0,0,0,7,8.0,Rural High Visitation
96,CUVA,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
97,DAAV,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
98,DELA,0,0,0,0,0,0,0,0,0,,
99,DENA,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
100,DEPO,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
101,DESO,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
102,DETO,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
103,DEVA,9,15,0,0,0,0,0,0,24,8.0,Rural High Visitation
104,DEWA,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
105,DINO,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
106,DRTO,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
107,EBLA,0,0,0,0,0,0,0,0,0,,
108,EDAL,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
109,EDIS,2,0,2,0,0,0,0,0,4,4.0,Urban Low Visitation
110,EFMO,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
111,EISE,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
112,ELMA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
113,ELMO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
