,park, ev ,electric vehicle, charger , alternative fuel , electric car , charging port , nrel , renewable energy ,total,FinalCluster,Label
370,THRI,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
371,THRO,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
372,THST,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
373,TICA,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
374,TIMU,0,0,0,7,0,0,0,0,7,5.0,Urban High Visitation
375,TONT,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
376,TUAI,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
377,TUIN,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
378,TUMA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
379,TUPE,0,0,0,0,0,0,0,0,0,,
380,TUSK,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
381,TUZI,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
382,ULSG,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
383,UPDE,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
384,VAFO,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
385,VALL,0,0,0,7,0,0,0,0,7,7.0,Rural Low Visitation
386,VALR,0,0,0,0,0,0,0,0,0,,
387,VAMA,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
388,VICK,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
389,VICR,0,0,0,0,0,0,0,0,0,,
390,VIIS,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
391,VIVE,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
392,VOYA,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
393,WABA,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
394,WACA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
395,WACO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
396,WAMO,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
397,WAPA,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
398,WASH,0,0,0,0,0,0,0,0,0,,
399,WEFA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
400,WHHO,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
401,WHHO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
402,WHIS,0,0,0,0,0,0,0,1,1,8.0,Rural High Visitation
403,WHMI,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
404,WHSA,0,6,0,0,6,0,0,0,12,8.0,Rural High Visitation
405,WICA,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
406,WICL,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
407,WICR,0,0,0,7,0,0,0,0,7,4.0,Urban Low Visitation
408,WIHO,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
409,WORI,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
410,WOTR,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
411,WRBR,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
412,WRST,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
413,WUPA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
414,WWII,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
415,WWIM,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
416,YELL,1,2,0,9,0,0,0,0,12,8.0,Rural High Visitation
417,YOSE,2,1,0,0,0,0,0,0,3,1.0,Transit Parks
418,YUCH,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
419,YUHO,0,0,0,0,0,0,0,0,0,,
420,ZION,0,8,0,6,0,0,0,0,14,1.0,Transit Parks
