,park, bus ,shuttle,transit,public transportation,ferry,ferry service,subway,train,metro,total,FinalCluster,Label,ferrynet
337,SAFR,0,0,20,26,1,0,0,1,0,48,5.0,Urban High Visitation,1
338,SAGA,17,4,0,0,0,0,0,14,0,35,4.0,Urban Low Visitation,0
339,SAGU,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation,0
340,SAHI,14,7,7,0,0,0,0,26,0,54,4.0,Urban Low Visitation,0
341,SAIR,14,0,0,1,0,0,7,8,0,30,4.0,Urban Low Visitation,0
342,SAJH,1,9,0,7,7,0,0,6,0,30,6.0,High Seasonal Variation,7
343,SAJU,0,1,0,0,0,0,0,2,2,5,5.0,Urban High Visitation,0
344,SAMA,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites,0
345,SAMO,1,2,1,1,0,0,0,5,1,11,5.0,Urban High Visitation,0
346,SAND,0,0,0,7,0,0,0,0,0,7,7.0,Rural Low Visitation,0
347,SAPA,1,0,4,25,0,0,5,1,1,37,4.0,Urban Low Visitation,0
348,SAPU,6,0,0,6,0,0,0,2,0,14,7.0,Rural Low Visitation,0
349,SARA,0,0,0,2,0,0,0,3,0,5,6.0,High Seasonal Variation,0
350,SARI,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation,0
351,SCBL,1,1,0,0,0,0,0,5,0,7,1.0,Transit Parks,0
352,SEKI,16,258,46,1,0,0,0,15,0,336,,,0
353,SEMO,2,0,0,0,0,0,0,1,0,3,,,0
354,SEQU,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation,0
355,SHEN,0,0,0,0,0,0,0,0,6,6,8.0,Rural High Visitation,0
356,SHIL,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation,0
357,SITK,0,0,0,0,25,0,0,0,0,25,8.0,Rural High Visitation,25
358,SLBE,27,1,13,0,16,8,0,6,0,71,1.0,Transit Parks,8
359,SPAR,0,0,0,0,0,0,0,4,0,4,4.0,Urban Low Visitation,0
360,STEA,4,2,2,1,0,0,0,68,0,77,4.0,Urban Low Visitation,0
361,STLI,4,2,12,71,84,9,10,13,5,210,1.0,Transit Parks,75
362,STON,9,0,4,0,0,0,10,1,2,26,2.0,Urban Sites,0
363,STRI,1,0,0,0,0,0,0,2,0,3,4.0,Urban Low Visitation,0
364,SUCR,0,0,0,14,0,0,0,1,0,15,7.0,Rural Low Visitation,0
365,TAPR,2,0,0,0,0,0,0,2,0,4,7.0,Rural Low Visitation,0
366,THIS,1,0,2,21,0,0,0,3,21,48,2.0,Urban Sites,0
367,THJE,8,0,1,17,0,0,7,7,12,52,2.0,Urban Sites,0
368,THKO,7,0,0,1,0,0,0,0,0,8,2.0,Urban Sites,0
369,THRB,6,0,4,32,0,0,11,5,2,60,2.0,Urban Sites,0
370,THRI,33,0,0,25,0,0,0,0,4,62,3.0,Low Visitation Sites,0
371,THRO,0,0,0,20,0,0,0,3,0,23,8.0,Rural High Visitation,0
372,THST,0,1,0,0,0,0,0,2,0,3,7.0,Rural Low Visitation,0
373,TICA,0,0,0,14,0,0,0,5,0,19,4.0,Urban Low Visitation,0
374,TIMU,4,0,0,0,36,0,0,4,0,44,5.0,Urban High Visitation,36
375,TONT,0,0,0,0,0,0,0,1,21,22,7.0,Rural Low Visitation,0
376,TUAI,0,0,0,14,0,0,1,13,0,28,7.0,Rural Low Visitation,0
377,TUIN,0,0,0,14,0,0,1,9,0,24,7.0,Rural Low Visitation,0
378,TUMA,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation,0
379,TUPE,2,0,0,0,0,0,0,2,0,4,,,0
380,TUSK,0,0,0,0,0,0,0,1,0,1,7.0,Rural Low Visitation,0
381,TUZI,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation,0
382,ULSG,0,0,0,45,0,0,0,6,8,59,4.0,Urban Low Visitation,0
383,UPDE,0,1,1,22,1,0,0,2,0,27,8.0,Rural High Visitation,1
384,VAFO,49,2,0,38,0,0,0,10,0,99,5.0,Urban High Visitation,0
385,VALL,7,2,0,0,0,0,0,27,0,36,7.0,Rural Low Visitation,0
386,VALR,33,30,9,9,0,0,0,2,9,92,,,0
387,VAMA,7,0,7,0,0,0,0,10,7,31,4.0,Urban Low Visitation,0
388,VICK,0,0,0,6,0,0,0,0,0,6,8.0,Rural High Visitation,0
389,VICR,0,0,0,2,20,9,0,2,0,33,,,11
390,VIIS,2,0,0,17,23,2,0,0,0,44,4.0,Urban Low Visitation,21
391,VIVE,1,0,3,16,0,0,7,7,17,51,2.0,Urban Sites,0
392,VOYA,1,1,1,2,0,0,0,2,1,8,8.0,Rural High Visitation,0
393,WABA,0,0,0,0,0,0,0,3,0,3,3.0,Low Visitation Sites,0
394,WACA,0,0,0,14,0,0,0,1,0,15,7.0,Rural Low Visitation,0
395,WACO,0,0,0,1,0,0,0,0,0,1,4.0,Urban Low Visitation,0
396,WAMO,12,1,1,17,0,0,0,7,18,56,2.0,Urban Sites,0
397,WAPA,0,0,0,0,0,0,0,2,0,2,4.0,Urban Low Visitation,0
398,WASH,0,0,0,0,0,0,0,2,0,2,,,0
399,WEFA,0,0,0,0,0,0,0,37,7,44,7.0,Rural Low Visitation,0
400,WHHO,0,1,0,28,0,0,3,1,18,51,2.0,Urban Sites,0
401,WHHO,0,1,0,28,0,0,3,1,18,51,4.0,Urban Low Visitation,0
402,WHIS,1,0,1,38,0,0,0,4,0,44,8.0,Rural High Visitation,0
403,WHMI,2,0,1,0,0,0,0,6,0,9,4.0,Urban Low Visitation,0
404,WHSA,2,0,0,12,0,0,0,0,0,14,8.0,Rural High Visitation,0
405,WICA,0,0,0,16,0,0,0,7,0,23,8.0,Rural High Visitation,0
406,WICL,0,0,0,0,0,0,0,2,0,2,4.0,Urban Low Visitation,0
407,WICR,7,0,0,7,0,0,0,0,0,14,4.0,Urban Low Visitation,0
408,WIHO,22,0,0,11,0,0,0,0,11,44,3.0,Low Visitation Sites,0
409,WORI,0,0,0,0,0,0,0,4,0,4,4.0,Urban Low Visitation,0
410,WOTR,4,2,0,24,0,0,0,0,6,36,1.0,Transit Parks,0
411,WRBR,8,0,0,7,0,0,0,0,0,15,8.0,Rural High Visitation,0
412,WRST,2,94,2,0,24,0,0,12,0,134,6.0,High Seasonal Variation,24
413,WUPA,2,0,1,7,0,0,0,2,0,12,7.0,Rural Low Visitation,0
414,WWII,8,0,2,15,0,0,7,7,13,52,2.0,Urban Sites,0
415,WWIM,7,0,0,15,0,0,7,0,21,50,2.0,Urban Sites,0
416,YELL,9,11,6,9,0,0,0,32,0,67,8.0,Rural High Visitation,0
417,YOSE,9,32,3,41,0,0,0,15,1,101,1.0,Transit Parks,0
418,YUCH,0,1,2,0,0,0,0,6,16,25,6.0,High Seasonal Variation,0
419,YUHO,0,0,0,14,0,0,0,3,0,17,,,0
420,ZION,52,292,14,0,0,0,14,7,0,379,1.0,Transit Parks,0
