park,wheelchair,accessibility,disability,impaired,disabilities,handicap,accessible,ada,barrier,ramp,braille,disabled,handicapped,total
JEFM,0,4,2,0,1,0,0,4,0,0,0,0,0,11
JELA,2,88,3,0,30,0,44,18,0,1,9,0,0,195
JICA,7,88,2,1,3,1,13,8,0,36,1,1,0,161
JODA,4,83,2,1,1,0,8,9,0,1,0,0,0,109
JODR,53,379,171,1,8,10,130,103,4,17,0,0,8,884
JOFI,2,45,2,0,2,0,5,9,0,7,1,0,0,73
JOFL,0,30,2,0,1,0,12,8,0,14,0,0,0,67
JOMU,5,49,4,0,1,0,5,13,1,14,1,0,0,93
JOTR,0,38,2,0,1,0,16,31,0,0,0,0,0,88
KAHO,0,56,3,0,1,0,1,9,0,22,0,0,0,92
KALA,1,53,2,0,1,0,1,8,0,0,0,0,0,66
KATM,3,69,2,0,1,0,13,12,0,3,5,0,0,108
KAWW,0,71,2,0,1,0,5,11,0,0,0,0,0,90
KEFJ,0,43,2,0,2,0,42,8,0,1,0,0,0,98
KEMO,1,51,9,2,2,0,2,11,0,0,5,1,0,84
KEWE,2,62,2,0,2,0,4,9,1,0,0,0,0,82
KICA,0,4,2,0,1,0,0,4,0,0,0,0,0,11
KIMO,6,42,2,3,1,1,4,8,0,0,1,0,1,69
KLGO,6,39,2,0,1,0,25,24,0,0,1,0,0,98
KNRI,0,38,2,0,1,0,1,8,0,0,0,0,0,50
KOVA,2,59,2,1,1,1,4,8,0,0,0,0,0,78
KOWA,0,47,2,0,1,7,1,8,0,0,2,0,0,68
LABE,2,73,3,0,2,0,22,20,0,2,0,0,0,124
LACH,1,125,5,0,2,0,28,16,1,10,0,0,0,188
LACL,12,63,2,0,1,0,7,10,0,12,1,0,0,108
LAKE,4,221,10,1,5,0,41,288,1,550,5,1,0,1127
LAME,4,221,10,1,5,0,41,289,1,559,5,1,0,1137
LAMR,0,60,3,0,3,0,1,9,0,12,0,0,0,88
LARO,0,30,2,0,1,0,1,8,0,16,2,0,0,60
LAVO,30,255,3,1,2,0,87,51,1,17,0,2,0,449
LECL,0,59,2,1,1,0,4,8,0,0,3,0,0,78
LEWI,4,71,4,1,4,0,9,54,1,2,6,1,0,157
LIBI,1,59,5,0,3,0,3,10,0,1,0,0,0,82
LIBO,3,51,3,0,3,0,4,8,0,0,0,0,0,72
LIHO,41,103,5,1,3,0,24,8,1,14,7,0,0,207
LINC,2,46,2,0,1,7,6,8,0,0,2,0,7,81
LIRI,0,60,3,0,2,0,15,14,2,3,0,0,0,99
LODE,0,46,2,0,1,0,0,4,0,5,0,0,0,58
LONG,5,54,4,0,7,15,21,17,0,0,2,0,1,126
LOSA,0,4,2,0,1,0,0,4,0,0,0,0,0,11
LOWE,10,62,12,0,2,0,22,17,0,2,1,1,0,129
LYBA,1,53,2,0,2,0,0,8,0,3,0,0,0,69
LYJO,7,57,2,1,2,0,8,9,0,1,0,0,0,87
MABE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MABI,4,36,2,0,2,0,13,8,0,1,1,0,0,67
MACA,1,48,2,0,1,0,20,35,0,0,2,0,0,109
MALL,4,68,3,0,1,0,6,10,0,0,2,2,0,96
MALU,2,52,2,1,2,0,10,11,0,2,0,0,0,82
MAMC,1,70,7,0,30,0,3,9,1,0,1,0,0,122
MANA,0,39,2,0,1,0,35,59,0,0,0,0,0,136
MANZ,10,63,2,3,1,0,11,57,0,5,1,0,0,153
MAPR,8,87,5,0,7,0,18,23,0,0,0,0,0,148
MAVA,3,50,4,0,4,0,4,8,0,1,1,0,0,75
MAWA,2,43,2,0,1,0,4,8,0,0,0,0,0,60
MEVE,0,28,2,0,1,0,0,8,0,16,0,0,0,55
MIIN,0,38,3,0,4,0,9,17,0,0,0,0,0,71
MIMA,0,4,2,0,1,0,0,4,0,0,0,0,0,11
MIMI,2,70,5,0,5,0,13,10,1,1,0,0,0,107
MISS,3,64,2,1,1,2,15,8,0,6,0,0,2,104
MLKM,2,47,2,0,1,7,5,8,0,0,2,0,0,74
MNRR,0,28,2,0,1,0,0,8,0,0,0,0,0,39
MOCA,7,56,6,0,3,0,2,10,1,0,0,0,0,85
MOCR,0,57,4,0,3,0,2,9,0,0,0,0,0,75
MOJA,6,79,2,1,1,0,14,45,0,1,0,2,0,151
MONO,6,70,2,0,1,0,12,9,0,0,1,0,0,101
MORA,4,534,7,1,5,0,60,96,4,72,7,0,0,790
MORR,1,55,5,0,1,0,4,11,0,25,1,0,0,103
MORU,10,70,8,2,7,1,13,16,0,2,3,0,1,133
MUWO,11,61,4,0,8,0,23,19,0,2,4,0,0,132
NABR,2,82,2,0,5,0,3,16,2,1,3,0,0,116
NACA,0,4,2,0,1,0,0,4,0,0,0,0,0,11
NACC,4,70,3,0,1,0,6,10,0,0,2,2,0,98
NAMA,4,68,3,0,1,0,6,10,0,0,2,2,0,96
NATC,3,47,2,0,2,0,7,11,0,2,0,0,0,74
NATR,9,88,3,0,1,1,23,17,0,17,3,0,1,163
NAVA,3,48,4,0,1,0,3,9,0,0,0,1,0,69
NEBE,2,62,4,0,2,0,5,8,0,0,0,0,0,83
NEPE,2,57,8,0,4,2,5,17,0,1,1,0,1,98
NERI,5,138,2,2,2,0,47,20,0,40,0,0,0,256
NICO,6,55,2,0,1,0,8,8,0,0,0,0,0,80
NIOB,0,4,2,0,1,0,0,4,0,0,0,0,0,11
NISI,1,64,2,0,1,1,7,10,1,0,0,0,0,87
NOAT,1,60,2,2,1,1,3,8,0,0,0,0,0,78
NOCA,1,115,5,0,2,0,30,16,1,10,0,0,0,180
NPSA,0,54,2,0,1,0,3,8,0,46,0,0,0,114
NWWM,0,50,2,0,1,7,2,8,0,0,2,0,0,72
OBED,3,95,2,0,2,2,6,16,0,1,1,1,2,131
OBRI,0,4,2,0,1,0,0,4,0,0,0,0,0,11
OCMU,5,48,2,0,1,1,8,15,0,0,0,0,0,80
OLYM,1,49,2,0,2,1,25,29,0,0,0,0,0,109
ORCA,0,26,2,0,1,0,0,8,0,0,0,0,0,37
ORPI,7,90,2,0,1,0,54,37,51,0,1,0,0,243
OZAR,6,63,2,1,1,0,19,15,2,4,0,2,0,115
PAAL,2,43,4,0,3,0,14,16,0,0,1,0,0,83
PAAV,1,42,2,0,2,0,3,8,1,0,0,0,0,59
PAGR,6,96,3,0,2,0,11,12,1,16,5,1,0,153
PAIS,26,45,2,0,1,0,25,8,2,12,0,0,0,121
PECO,5,80,17,0,5,0,15,17,0,2,3,0,0,144
PEFO,2,149,10,0,3,0,7,22,2,2,0,0,0,197
PERI,1,65,11,0,2,0,8,13,0,0,2,0,0,102
PETE,0,32,2,0,1,0,16,8,0,0,0,0,0,59
PETR,1,51,5,2,1,0,10,49,0,1,1,0,0,121
