,Label,Total_Parks,RH_Parks,Percent_RH
0,High Seasonal Variation,43,12,27.9
1,Low Visitation Sites,19,3,15.8
2,Rural High Visitation,63,8,12.7
3,Rural Low Visitation,73,5,6.8
4,Transit Parks,49,16,32.7
5,Urban High Visitation,34,9,26.5
6,Urban Low Visitation,67,8,11.9
7,Urban Sites,40,1,2.5
8,Total,388,62,16.0
