,park,parking lot,parking,pull off,pulloff,pull-off,total space,parking space,oversized space,garage,parking spot,parking tag,vehicle space,parking area,total,FinalCluster,Label
291,NWWM,7,42,0,0,0,0,0,0,1,0,0,0,0,50,,
292,OBED,5,7,0,0,0,0,0,0,0,0,0,0,1,13,7.0,Rural Low Visitation
293,OBRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
294,OCMU,1,13,0,0,0,0,0,0,0,0,0,0,3,17,4.0,Urban Low Visitation
295,OLYM,6,16,0,0,0,0,0,0,0,0,0,0,7,29,8.0,Rural High Visitation
296,ORCA,12,24,0,0,0,0,0,0,0,0,0,0,0,36,7.0,Rural Low Visitation
297,ORPI,4,24,0,0,0,0,1,0,0,0,0,0,8,37,7.0,Rural Low Visitation
298,OZAR,6,31,0,0,0,0,0,0,0,1,0,0,9,47,1.0,Transit Parks
299,PAAL,4,9,0,0,0,0,1,0,0,0,0,0,1,15,6.0,High Seasonal Variation
300,PAAV,0,32,0,0,0,0,0,0,2,0,0,0,0,34,2.0,Urban Sites
301,PAGR,65,143,0,0,0,0,2,0,4,1,0,0,35,250,4.0,Urban Low Visitation
302,PAIS,2,10,0,0,0,0,0,0,0,1,0,0,1,14,8.0,Rural High Visitation
303,PECO,4,10,0,0,0,0,2,0,0,0,0,0,3,19,7.0,Rural Low Visitation
304,PEFO,0,9,0,0,0,0,0,0,1,0,0,0,7,17,8.0,Rural High Visitation
305,PERI,23,49,0,0,0,0,20,0,0,0,0,0,0,92,4.0,Urban Low Visitation
306,PETE,13,19,0,6,0,0,0,0,0,0,0,0,0,38,4.0,Urban Low Visitation
307,PETR,37,43,0,0,0,0,1,0,0,0,0,0,1,82,4.0,Urban Low Visitation
308,PEVI,1,19,0,0,0,0,1,0,0,0,0,0,2,23,3.0,Low Visitation Sites
309,PINN,5,12,1,0,0,0,0,0,0,0,0,0,5,23,1.0,Transit Parks
310,PIPE,0,14,0,0,0,0,0,0,0,0,0,0,1,15,7.0,Rural Low Visitation
311,PIRO,46,95,0,0,0,0,1,0,0,0,0,0,17,159,6.0,High Seasonal Variation
312,PISC,14,15,0,0,0,0,0,0,0,0,0,0,0,29,2.0,Urban Sites
313,PISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
314,POCH,8,16,0,0,0,0,0,0,0,0,0,0,0,24,6.0,High Seasonal Variation
315,POHE,2,8,0,0,0,0,0,0,0,0,0,0,3,13,,
316,POPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
317,PORE,613,912,1,0,0,17,82,17,10,26,0,16,26,1720,1.0,Transit Parks
318,PRWI,4,8,0,0,0,0,0,0,0,0,0,0,0,12,4.0,Urban Low Visitation
319,PUHE,4,5,0,0,0,0,0,0,0,0,0,0,0,9,3.0,Low Visitation Sites
320,PUHO,1,1,0,0,0,0,0,0,0,0,0,0,0,2,8.0,Rural High Visitation
321,PULL,30,32,0,0,0,0,0,0,0,1,0,0,0,63,,
322,RABR,1,1,0,0,0,0,0,0,0,0,0,0,0,2,7.0,Rural Low Visitation
323,REDW,4,50,0,0,0,0,0,0,0,0,0,0,3,57,8.0,Rural High Visitation
324,RICH,2,16,0,0,0,0,0,0,0,0,0,0,1,19,4.0,Urban Low Visitation
325,RIGR,0,6,0,0,0,0,0,0,0,0,0,0,0,6,7.0,Rural Low Visitation
326,RIRA,0,4,0,0,0,0,0,0,0,0,0,0,3,7,3.0,Low Visitation Sites
327,ROCR,3,41,0,0,0,0,4,0,1,0,0,0,13,62,5.0,Urban High Visitation
328,ROLA,2,27,0,0,1,0,0,0,0,1,0,0,8,39,1.0,Transit Parks
329,ROMO,1,22,0,0,0,0,0,0,0,0,0,0,20,43,1.0,Transit Parks
330,RORI,21,59,0,0,0,0,1,0,0,0,0,0,0,81,2.0,Urban Sites
331,ROWI,18,20,0,0,0,0,0,0,0,0,0,0,0,38,2.0,Urban Sites
332,RRBH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
333,RUCA,2,7,0,0,0,0,2,0,0,0,0,0,2,13,7.0,Rural Low Visitation
334,SAAN,4,16,0,0,0,0,0,0,0,0,0,0,0,20,5.0,Urban High Visitation
335,SACN,4,6,0,0,0,0,0,0,0,0,0,0,1,11,6.0,High Seasonal Variation
336,SACR,2,4,0,0,0,0,0,0,0,0,0,0,0,6,3.0,Low Visitation Sites
337,SAFR,9,48,0,0,0,0,1,0,8,0,0,0,8,74,5.0,Urban High Visitation
338,SAGA,51,93,0,0,0,0,0,0,2,0,0,0,11,157,4.0,Urban Low Visitation
339,SAGU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
340,SAHI,13,23,0,0,0,0,0,0,0,0,0,0,0,36,4.0,Urban Low Visitation
341,SAIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
342,SAJH,10,16,0,0,0,0,0,0,0,0,0,0,5,31,6.0,High Seasonal Variation
343,SAJU,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,Urban High Visitation
344,SAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
345,SAMO,53,111,0,0,0,0,2,0,0,1,0,0,8,175,5.0,Urban High Visitation
346,SAND,3,15,0,0,0,0,3,0,0,0,0,0,1,22,7.0,Rural Low Visitation
347,SAPA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.0,Urban Low Visitation
348,SAPU,5,24,0,0,0,0,0,0,0,0,0,0,0,29,7.0,Rural Low Visitation
349,SARA,59,150,0,0,0,0,0,0,0,0,0,0,1,210,6.0,High Seasonal Variation
350,SARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
351,SCBL,6,11,0,0,0,0,2,0,0,0,0,0,1,20,1.0,Transit Parks
352,SEKI,44,216,1,0,0,0,32,0,0,0,0,0,57,350,,
353,SEMO,0,3,0,0,0,0,0,0,0,0,0,0,1,4,,
354,SEQU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
355,SHEN,0,5,0,0,0,0,0,0,0,0,0,0,1,6,8.0,Rural High Visitation
356,SHIL,1,3,1,0,0,0,0,0,0,0,0,0,1,6,8.0,Rural High Visitation
357,SITK,2,2,0,0,0,0,0,0,0,0,0,0,0,4,8.0,Rural High Visitation
358,SLBE,20,50,0,0,0,0,1,0,1,0,0,0,8,80,1.0,Transit Parks
359,SPAR,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.0,Urban Low Visitation
360,STEA,4,10,0,0,0,0,0,0,1,0,0,0,4,19,4.0,Urban Low Visitation
361,STLI,15,89,0,0,0,0,7,0,0,0,0,0,0,111,1.0,Transit Parks
362,STON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
363,STRI,3,25,0,0,1,0,0,0,0,1,0,0,2,32,4.0,Urban Low Visitation
364,SUCR,3,6,0,0,0,0,0,0,0,0,0,0,3,12,7.0,Rural Low Visitation
365,TAPR,27,89,0,0,0,0,0,0,0,0,0,0,29,145,7.0,Rural Low Visitation
366,THIS,24,33,0,0,0,0,8,0,0,0,0,0,0,65,2.0,Urban Sites
367,THJE,7,43,0,0,0,0,1,0,1,0,0,0,0,52,2.0,Urban Sites
368,THKO,0,30,0,0,0,0,0,0,43,0,0,0,0,73,2.0,Urban Sites
369,THRB,0,23,0,0,0,0,0,0,0,0,0,0,0,23,2.0,Urban Sites
370,THRI,15,100,0,0,0,0,0,0,0,0,0,0,0,115,3.0,Low Visitation Sites
371,THRO,0,5,0,0,0,0,0,0,0,0,0,0,5,10,8.0,Rural High Visitation
372,THST,6,6,0,0,0,0,0,0,0,0,0,0,0,12,7.0,Rural Low Visitation
373,TICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
374,TIMU,7,13,0,0,0,0,1,0,0,0,0,0,0,21,5.0,Urban High Visitation
375,TONT,3,5,0,0,0,0,0,0,0,0,0,0,0,8,7.0,Rural Low Visitation
376,TUAI,0,5,0,0,0,0,0,0,0,0,0,0,4,9,7.0,Rural Low Visitation
377,TUIN,0,37,0,0,0,0,0,0,14,0,0,0,1,52,7.0,Rural Low Visitation
378,TUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
379,TUPE,0,14,0,0,0,0,0,0,0,0,0,0,0,14,,
380,TUSK,2,36,0,0,0,0,0,0,0,0,0,0,32,70,7.0,Rural Low Visitation
381,TUZI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
382,ULSG,1,6,0,0,0,0,1,0,0,0,0,0,0,8,4.0,Urban Low Visitation
383,UPDE,2,3,1,0,0,0,0,0,0,0,0,0,0,6,8.0,Rural High Visitation
384,VAFO,228,388,0,0,0,9,9,9,0,16,0,9,7,675,5.0,Urban High Visitation
385,VALL,7,27,1,0,0,0,0,0,0,0,0,0,11,46,7.0,Rural Low Visitation
386,VALR,1,51,0,0,0,0,0,0,0,0,0,0,0,52,,
387,VAMA,3,6,0,0,0,1,0,1,0,0,0,1,0,12,4.0,Urban Low Visitation
388,VICK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
389,VICR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
390,VIIS,2,14,0,0,0,0,1,0,0,0,0,0,2,19,4.0,Urban Low Visitation
391,VIVE,0,40,0,0,0,0,0,0,2,0,0,0,0,42,2.0,Urban Sites
392,VOYA,8,14,0,0,0,0,0,0,0,0,0,0,4,26,8.0,Rural High Visitation
393,WABA,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3.0,Low Visitation Sites
394,WACA,4,5,0,0,0,0,0,0,0,0,0,0,0,9,7.0,Rural Low Visitation
395,WACO,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4.0,Urban Low Visitation
396,WAMO,21,93,0,0,0,0,8,0,1,0,0,0,0,123,2.0,Urban Sites
397,WAPA,0,7,0,0,0,0,5,0,0,0,0,0,0,12,4.0,Urban Low Visitation
398,WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
399,WEFA,48,85,1,0,0,0,1,0,0,0,0,0,8,143,7.0,Rural Low Visitation
400,WHHO,0,24,0,0,0,0,0,0,6,0,0,0,0,30,2.0,Urban Sites
401,WHHO,0,24,0,0,0,0,0,0,6,0,0,0,0,30,4.0,Urban Low Visitation
402,WHIS,18,29,0,0,0,0,0,0,0,1,0,0,3,51,8.0,Rural High Visitation
403,WHMI,6,26,0,0,0,0,2,0,0,0,0,0,14,48,4.0,Urban Low Visitation
404,WHSA,0,2,0,0,0,0,0,0,0,0,0,0,2,4,8.0,Rural High Visitation
405,WICA,1,11,0,0,0,0,0,0,0,0,0,0,1,13,8.0,Rural High Visitation
406,WICL,0,26,0,0,0,0,0,0,0,0,0,0,1,27,4.0,Urban Low Visitation
407,WICR,7,14,0,0,0,0,1,0,0,0,0,0,4,26,4.0,Urban Low Visitation
408,WIHO,18,24,0,0,0,0,2,0,0,0,0,0,0,44,3.0,Low Visitation Sites
409,WORI,0,31,0,0,0,0,0,0,0,0,0,0,0,31,4.0,Urban Low Visitation
410,WOTR,2,10,0,0,0,0,0,0,0,0,0,0,0,12,1.0,Transit Parks
411,WRBR,1,2,0,0,0,0,0,0,0,1,0,0,0,4,8.0,Rural High Visitation
412,WRST,2,49,0,0,0,0,0,0,0,0,0,0,7,58,6.0,High Seasonal Variation
413,WUPA,8,19,0,0,0,0,3,0,0,2,0,2,2,36,7.0,Rural Low Visitation
414,WWII,7,42,0,0,0,0,0,0,1,0,0,0,0,50,2.0,Urban Sites
415,WWIM,0,23,0,0,0,0,1,0,0,0,0,0,0,24,2.0,Urban Sites
416,YELL,19,134,0,0,0,1,4,1,0,0,0,1,26,186,8.0,Rural High Visitation
417,YOSE,7,61,0,0,0,0,3,0,1,1,0,0,4,77,1.0,Transit Parks
418,YUCH,0,4,0,0,0,0,0,0,0,0,0,0,0,4,6.0,High Seasonal Variation
419,YUHO,0,7,0,0,0,0,0,0,0,0,0,0,7,14,,
420,ZION,2,46,0,0,0,0,0,0,1,0,0,0,32,81,1.0,Transit Parks
