,park, uber , lyft ,ridehailing,ridesharing, cab , taxi ,ride-hailing,ride-sharing,ride hailing,ride sharing,ride share,rideshare,total,FinalCluster,Label
303,PAAV,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
304,PAGR,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
305,PAIS,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
306,PECO,2,1,0,0,0,0,0,0,0,0,0,0,3,7.0,Rural Low Visitation
307,PEFO,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
308,PERI,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
309,PERL,0,0,0,0,0,9,0,0,0,0,0,0,9,2.0,Urban Sites
310,PETE,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
311,PETR,2,0,0,0,2,0,0,0,0,0,0,0,4,4.0,Urban Low Visitation
312,PEVI,0,0,0,0,0,7,0,0,0,0,0,0,7,3.0,Low Visitation Sites
313,PINN,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
314,PIPE,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
315,PIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
316,PISC,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
317,PISP,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
318,POCH,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
319,POHE,0,0,0,0,0,1,0,0,0,0,0,0,1,,
320,POPO,0,0,0,0,0,0,0,0,0,0,0,0,0,,
321,PORE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
322,PRWI,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
323,PUHE,0,0,0,0,0,6,0,0,0,0,0,0,6,3.0,Low Visitation Sites
324,PUHO,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
325,PULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
326,RABR,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
327,REDW,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
328,REER,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
329,RICH,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
330,RIGR,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
331,RIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
332,ROCR,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
333,ROLA,0,0,0,0,0,10,0,0,0,0,0,0,10,1.0,Transit Parks
334,ROMO,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
335,RORI,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
336,ROWI,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
337,RRBH,0,0,0,0,0,0,0,0,0,0,0,0,0,,
338,RUCA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
339,SAAN,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
340,SACN,0,0,0,0,0,7,0,0,0,0,0,0,7,6.0,High Seasonal Variation
341,SACR,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
342,SAFR,0,0,0,0,0,0,0,0,0,0,0,6,6,5.0,Urban High Visitation
343,SAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
344,SAGU,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
345,SAHI,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
346,SAIR,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
347,SAJH,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
348,SAJU,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
349,SAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
350,SAMO,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
351,SAND,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
352,SAPA,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0,Urban Low Visitation
353,SAPU,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
354,SARA,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
355,SARI,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
356,SCBL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
357,SEKI,0,0,0,0,0,0,0,0,0,0,0,0,0,,
358,SEMO,0,0,0,0,0,0,0,0,0,0,0,0,0,,
359,SEQU,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
360,SHEN,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
361,SHIL,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
362,SITK,0,0,0,0,0,18,0,0,0,0,0,0,18,8.0,Rural High Visitation
363,SLBE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
364,SPAR,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
365,STEA,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0,Urban Low Visitation
366,STLI,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,Transit Parks
367,STON,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
368,STRI,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
369,SUCR,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
370,TAPR,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
371,THIS,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
372,THJE,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
373,THKO,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
374,THRB,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
375,THRI,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
376,THRO,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
377,THST,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
378,TICA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
379,TIMU,0,0,0,0,0,1,0,0,0,0,2,0,3,5.0,Urban High Visitation
380,TONT,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
381,TUAI,0,0,0,0,0,7,0,0,0,0,0,0,7,7.0,Rural Low Visitation
382,TUIN,0,0,0,0,0,7,0,0,0,0,0,0,7,7.0,Rural Low Visitation
383,TUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
384,TUPE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
385,TUSK,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
386,TUZI,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
387,ULSG,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
388,UPDE,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
389,VAFO,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
390,VALL,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
391,VALR,0,0,0,0,0,9,0,0,0,0,0,0,9,,
392,VAMA,0,0,0,0,0,7,0,0,0,0,0,0,7,4.0,Urban Low Visitation
393,VICK,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
394,VICR,0,0,0,0,0,1,0,0,0,0,0,0,1,,
395,VIIS,0,0,0,0,0,10,0,0,0,0,0,0,10,4.0,Urban Low Visitation
396,VIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
397,VOYA,0,0,0,0,0,13,0,0,0,0,0,0,13,8.0,Rural High Visitation
398,WABA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
399,WACA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
400,WACO,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
401,WAMO,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
402,WAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
403,WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,,
404,WEFA,0,0,0,0,0,1,0,0,0,0,0,1,2,7.0,Rural Low Visitation
405,WHHO,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
406,WHHO,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
407,WHIS,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
408,WHMI,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
409,WHSA,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
410,WICA,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
411,WICL,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
412,WICR,6,0,0,0,0,0,0,0,0,0,0,0,6,4.0,Urban Low Visitation
413,WIHO,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
414,WORI,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
415,WOTR,0,0,0,0,0,0,0,0,0,0,0,6,6,1.0,Transit Parks
416,WRBR,0,0,0,0,0,7,0,0,0,0,0,0,7,8.0,Rural High Visitation
417,WRST,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
418,WUPA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
419,WWII,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
420,WWIM,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
421,YELL,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
422,YOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
423,YUCH,0,0,0,0,0,7,0,0,0,0,0,0,7,6.0,High Seasonal Variation
424,YUHO,0,0,0,0,0,0,0,0,0,0,0,0,0,,
425,ZION,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
