,park, uber , lyft ,ridehailing,ridesharing, cab , taxi ,ride-hailing,ride-sharing,ride hailing,ride sharing,ride share,rideshare,total,FinalCluster,Label
69,CEBR,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
70,CECH,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
71,CHAM,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
72,CHAT,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
73,CHCH,0,0,0,0,0,7,0,0,0,7,0,0,14,5.0,Urban High Visitation
74,CHCU,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
75,CHIC,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
76,CHIR,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
77,CHIS,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
78,CHOH,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
79,CHPI,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
80,CHRI,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
81,CHSC,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
82,CHYO,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
83,CIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
84,CLBA,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
85,COGA,0,0,0,0,0,0,0,0,0,0,0,0,0,,
86,COLM,0,0,0,0,0,7,0,0,0,0,0,0,7,8.0,Rural High Visitation
87,COLO,0,0,0,0,0,6,0,0,0,0,0,0,6,5.0,Urban High Visitation
88,CONG,6,0,0,0,0,0,0,0,0,0,12,1,19,4.0,Urban Low Visitation
89,CORO,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
90,COWP,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
91,CRLA,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
92,CRMO,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
93,CRMP,0,0,0,0,0,0,0,0,0,0,0,0,0,,
94,CUGA,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
95,CUIS,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,Transit Parks
96,CURE,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
97,CUVA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
98,DAAV,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
99,DDEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
100,DELA,0,0,0,0,0,0,0,0,0,0,0,0,0,,
101,DENA,0,0,0,0,0,2,0,0,0,0,0,0,2,1.0,Transit Parks
102,DEPO,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,Transit Parks
103,DESO,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
104,DETO,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
105,DEVA,0,0,0,0,0,1,0,0,0,0,0,0,1,8.0,Rural High Visitation
106,DEWA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
107,DINO,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
108,DRTO,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
109,EBLA,0,0,0,0,0,0,0,0,0,0,0,0,0,,
