,park,Driving_Directions,Public_transportation_information,Bike_Pedestrian_Information,Congestion_information,Accessibility,Alternative_Fueling_Stations,Travel_Distance_Final,Parking_Experience_information,Transportation_experience_information,Parking_information
116,EVER,1,1,1,1,0,0,1,0,1,0
117,FEHA,1,1,1,0,0,0,0,1,1,1
118,FIIS,1,1,1,0,0,0,1,1,1,1
119,FILA,1,0,0,0,0,0,0,1,1,1
120,FLFO,1,0,0,0,0,0,0,0,0,0
121,FLNI,1,1,1,0,0,0,1,0,1,0
122,FOBO,1,0,1,0,0,0,1,0,1,0
123,FOBU,1,0,0,0,0,0,1,0,1,0
124,FOCA,1,1,1,0,0,1,1,0,1,0
125,FODA,1,1,0,0,0,0,0,0,1,0
126,FODO,1,0,0,0,0,0,1,0,1,0
127,FOFR,1,0,0,1,0,0,0,0,1,0
128,FOLA,1,0,0,0,0,0,1,0,1,0
129,FOLS,1,0,0,0,0,0,1,1,1,1
130,FOMA,1,1,0,0,0,0,0,0,1,0
131,FOMC,1,1,0,0,0,0,1,1,1,1
132,FOMR,1,0,1,0,0,0,0,1,1,1
133,FONE,1,1,0,0,0,0,1,0,1,0
134,FOPO,1,1,0,0,0,0,0,1,1,1
135,FOPU,1,0,0,0,0,0,1,0,1,0
136,FORA,1,0,0,0,0,0,1,0,1,0
137,FOSC,1,0,0,0,0,0,1,0,1,0
138,FOSM,1,1,0,0,0,0,1,1,1,1
139,FOST,1,1,0,0,0,0,0,1,1,1
140,FOSU,1,1,0,0,0,0,0,1,1,1
141,FOTH,1,1,0,0,0,0,1,1,1,1
142,FOUN,1,1,0,0,0,0,0,0,1,0
143,FOUS,1,1,0,0,0,0,1,1,1,1
144,FOVA,1,1,1,0,0,0,1,1,1,1
145,FOWA,1,0,0,0,0,0,1,0,1,0
146,FRDE,1,1,0,0,0,0,1,1,1,1
147,FRDO,1,1,1,0,0,0,0,1,1,1
148,FRHI,1,0,0,0,0,0,1,0,1,0
149,FRLA,1,1,0,0,0,0,1,0,1,0
150,FRSP,1,0,1,0,0,0,1,1,1,1
151,FRST,1,0,0,0,0,0,0,0,0,0
152,GAAR,1,1,1,0,0,0,1,0,1,0
153,GARI,1,1,1,0,0,0,1,1,1,1
154,GATE,1,1,0,0,0,0,0,0,1,0
155,GEGR,1,1,1,0,0,0,0,0,1,0
156,GERO,1,0,0,0,0,0,1,1,1,1
157,GETT,1,1,1,0,0,0,1,1,1,1
158,GEWA,1,0,1,0,0,0,1,0,1,0
159,GICL,1,1,0,0,0,0,1,0,1,0
160,GLAC,1,1,1,1,0,0,1,1,1,1
161,GLBA,1,1,0,0,0,0,1,0,1,0
162,GLCA,1,1,1,1,0,1,1,0,1,0
163,GOGA,1,1,1,0,0,1,1,1,1,1
164,GOIS,1,1,1,0,0,0,0,0,1,0
165,GOSP,1,0,1,0,0,0,0,0,1,0
166,GRBA,1,1,1,1,0,0,1,0,1,0
167,GRCA,1,1,1,1,0,0,1,1,1,1
168,GREE,1,1,1,0,0,0,1,1,1,1
169,GREG,1,0,0,0,0,0,0,0,1,0
170,GRKO,1,0,0,0,0,0,0,0,1,0
171,GRPO,1,1,0,0,0,0,1,1,1,1
172,GRSA,1,1,1,0,0,0,1,1,1,1
173,GRSM,1,1,1,1,0,0,1,1,1,1
174,GRTE,1,1,1,1,0,0,1,1,1,1
175,GUCO,1,1,1,0,0,0,1,1,1,1
176,GUIS,1,1,0,0,0,0,1,1,1,1
177,GUMO,1,1,0,1,0,0,1,1,1,1
178,GWCA,1,0,0,0,0,0,1,0,1,0
179,GWMP,1,1,1,0,0,1,1,1,1,1
180,HAFE,1,1,0,1,0,0,1,1,1,1
181,HAFO,1,1,0,0,0,0,0,0,1,0
182,HAGR,1,1,1,0,0,0,0,1,1,1
183,HALE,1,1,1,1,0,0,1,1,1,1
184,HAMP,1,1,0,0,0,0,0,1,1,1
185,HATU,1,0,0,0,0,0,0,1,1,1
186,HAVO,1,1,1,1,0,0,1,1,1,1
187,HEHO,1,0,1,0,0,0,1,1,1,1
188,HOBE,1,1,0,0,0,0,1,0,1,0
189,HOCU,1,0,0,0,0,0,1,0,1,0
190,HOFR,1,1,0,1,0,0,1,0,1,0
191,HOFU,1,1,0,0,0,0,1,1,1,1
192,HOME,1,0,0,0,0,0,1,0,1,0
193,HONO,1,0,0,0,0,0,0,0,1,0
194,HOSP,1,1,1,0,0,0,1,1,1,1
195,HOVE,1,1,1,0,0,0,1,0,1,0
