Park Name,Park Full Name,Type of Unit,State,Reg,Alpha,Unit
Padre Island,Padre Island National Seashore,National Seashore,TX,IMR,PAIS,1
Pecos,Pecos National Historical Park,National Historical Park,NM,IMR,PECO,1
Petrified Forest,Petrified Forest National Park,National Park,AZ,IMR,PEFO,1
Petroglyph,Petroglyph National Monument,National Monument,NM,IMR,PETR,1
Hohokam Pima,Hohokam Pima,National Monument,AZ,IMR,PIMA,1
Pipe Spring,Pipe Spring National Monument,National Monument,AZ,IMR,PISP,1
Rainbow Bridge,Rainbow Bridge National Monument,National Monument,UT,IMR,RABR,1
Rio Grande,Rio Grande Wild and Scenic River,Wild & Scenic River,TX,IMR,RIGR,1
Rocky Mountain,Rocky Mountain National Park,National Park,CO,IMR,ROMO,1
San Antonio Missions,San Antonio Missions National Historical Park,National Historical Park,TX,IMR,SAAN,1
Saguaro,Saguaro National Park,National Park,AZ,IMR,SAGU,1
Sand Creek Massacre,Sand Creek Massacre National Historic Site,National Historic Site,CO,IMR,SAND,1
Salinas Pueblo Missions,Salinas Pueblo Missions National Monument,National Monument,NM,IMR,SAPU,1
Sunset Crater Volcano,Sunset Crater Volcano National Monument,National Monument,AZ,IMR,SUCR,1
Timpanogos Cave,Timpanogos Cave National Monument,National Monument,UT,IMR,TICA,1
Tonto,Tonto National Monument,National Monument,AZ,IMR,TONT,1
Tumacácori,Tumacacori National Historical Park,National Historical Park,AZ,IMR,TUMA,1
Tuzigoot,Tuzigoot National Monument,National Monument,AZ,IMR,TUZI,1
Washita Battlefield,Washita Battlefield National Historic Site,National Historic Site,OK,IMR,WABA,1
Walnut Canyon,Walnut Canyon National Monument,National Monument,AZ,IMR,WACA,1
White Sands,White Sands National Park,National Monument,NM,IMR,WHSA,1
Wupatki,Wupatki National Monument,National Monument,AZ,IMR,WUPA,1
Yellowstone,Yellowstone National Park,National Park,"ID,MT,WY",IMR,YELL,1
Yucca House,Yucca House,National Monument,CO,IMR,YUHO,1
Zion,Zion National Park,National Park,UT,IMR,ZION,1
Ice Age,Ice Age National Scenic Trail,National Scenic Trail,WI,MWR,IATR,1
Lewis and Clark,Lewis and Clark National Historic Trail,National Historic Trail,NE,MWR,LECL,1
Lower Saint Croix,Lower Saint Croix National Scenic Riverway,National Scenic Riverway,WI,MWR,LOSA,1
Pullman,Pullman National Monument,National Monument,IL,MWR,PULL,1
Ronald Reagan Boyhood Home,Ronald Reagan Boyhood Home National Historic Site,National Historic Site,IL,MWR,RRBH,1
Agate Fossil Beds,Agate Fossil Beds National Monument,National Monument,NE,MWR,AGFO,1
Apostle Islands,Apostle Islands National Lakeshore,National Lakeshore,WI,MWR,APIS,1
Arkansas Post,Arkansas Post National Memorial,National Memorial,AR,MWR,ARPO,1
Badlands,Badlands National Park,National Park,SD,MWR,BADL,1
Brown V Board Of Education,Brown v. Board of Education National Historic Site,National Historic Site,KS,MWR,BRVB,1
Buffalo,Buffalo National River,National River,AR,MWR,BUFF,1
Little Rock Central High School,Little Rock Central High School National Historic Site,National Historic Site,AR,MWR,CHSC,1
Charles Young Buffalo Soldiers,Charles Young Buffalo Soldiers National Monument,National Monument,OH,MWR,CHYO,1
Cuyahoga Valley,Cuyahoga Valley National Park,National Park,OH,MWR,CUVA,1
Dayton Aviation Heritage,Dayton Aviation Heritage National Historical Park,National Historical Park,OH,MWR,DAAV,1
Effigy Mounds,Effigy Mounds National Monument,National Monument,IA,MWR,EFMO,1
First Ladies,First Ladies National Historic Site,National Historic Site,OH,MWR,FILA,1
Fort Larned,Fort Larned National Historic Site,National Historic Site,KS,MWR,FOLS,1
Fort Scott,Fort Scott National Historic Site,National Historic Site,KS,MWR,FOSC,1
Fort Smith,Fort Smith National Historic Site,National Historic Site,"AR,OK",MWR,FOSM,1
Fort Union Trading Post,Fort Union Trading Post National Historic Site,National Historic Site,ND,MWR,FOUS,1
George Rogers Clark,George Rogers Clark National Historical Park,National Historical Park,IN,MWR,GERO,1
Grand Portage,Grand Portage National Monument,National Monument,MN,MWR,GRPO,1
George Washington Carver,George Washington Carver National Monument,National Monument,MO,MWR,GWCA,1
Herbert Hoover,Herbert Hoover National Historic Site,National Historic Site,IA,MWR,HEHO,1
Hopewell Culture,Hopewell Culture National Historical Park,National Historical Park,OH,MWR,HOCU,1
Homestead,Homestead National Historical Park,National Monument of America,NE,MWR,HOME,1
Hot Springs,Hot Springs National Park,National Park,AR,MWR,HOSP,1
Harry S Truman,Harry S Truman National Historic Site,National Historic Site,MO,MWR,HSTR,1
Indiana Dunes,Indiana Dunes National Park,National Lakeshore,IN,MWR,INDU,1
Isle Royale,Isle Royale National Park,National Park,MI,MWR,ISRO,1
James A Garfield,James A. Garfield National Historic Site,National Historic Site,OH,MWR,JAGA,1
Jewel Cave,Jewel Cave National Monument,National Monument,SD,MWR,JECA,1
Jefferson,Gateway Arch National Park,National Expansion Memorial,MO,MWR,JEFF,1
Keweenaw,Keweenaw National Historical Park,National Historical Park,MI,MWR,KEWE,1
Knife River Indian Villages,Knife River Indian Villages National Historic Site,National Historic Site,ND,MWR,KNRI,1
Lincoln Boyhood,Lincoln Boyhood National Memorial,National Memorial,IN,MWR,LIBO,1
Lincoln Home,Lincoln Home National Historic Site,National Historic Site,IL,MWR,LIHO,1
Minuteman Missile,Minuteman Missile National Historic Site,National Historic Site,SD,MWR,MIMI,1
Mississippi,Mississippi National River and Recreation Area,National River & Recreation Area,MN,MWR,MISS,1
Missouri,Missouri National Recreational River,National Recreational River,SD,MWR,MNRR,1
Mount Rushmore,Mount Rushmore National Memorial,National Memorial,SD,MWR,MORU,1
Nicodemus,Nicodemus National Historic Site,National Historic Site,KS,MWR,NICO,1
Niobrara,Niobrara National Scenic River,National Scenic River,NE,MWR,NIOB,1
Ozark,Ozark National Scenic Riverways,National Scenic Riverways,MO,MWR,OZAR,1
Pea Ridge,Pea Ridge National Military Park,National Military Park,AR,MWR,PERI,1
Perry's Victory & International Peace,Perry's Victory and International Peace Memorial,Memorial,OH,MWR,PEVI,1
Pipestone,Pipestone National Monument,National Monument,MN,MWR,PIPE,1
Pictured Rocks,Pictured Rocks National Lakeshore,National Lakeshore,MI,MWR,PIRO,1
River Raisin,River Raisin National Battlefield Park,National Battlefield,MI,MWR,RIRA,1
Saint Croix,Saint Croix National Scenic Riverway,National Scenic Riverway,WI,MWR,SACN,1
Scotts Bluff,Scotts Bluff National Monument,National Monument,NE,MWR,SCBL,1
Sleeping Bear Dunes,Sleeping Bear Dunes National Lakeshore,National Lakeshore,MI,MWR,SLBE,1
Tallgrass Prairie,Tallgrass Prairie National Preserve,National Preserve,KS,MWR,TAPR,1
Theodore Roosevelt,Theodore Roosevelt National Park,National Park,ND,MWR,THRO,1
Ulysses S Grant,Ulysses S. Grant National Historic Site,National Historic Site,MO,MWR,ULSG,1
Voyageurs,Voyageurs National Park,National Park,MN,MWR,VOYA,1
Wind Cave,Wind Cave National Park,National Park,SD,MWR,WICA,1
President William Jefferson Clinton Birthplace Home,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site,AR,MWR,WICL,1
Wilson's Creek,Wilson's Creek National Battlefield,National Battlefield,MO,MWR,WICR,1
William Howard Taft,William Howard Taft National Historic Site,National Historic Site,OH,MWR,WIHO,1
Belmont-Paul Women's Equality,Belmont-Paul Women's Equality National Monument,National Monument,DC,NCR,BEPA,1
Thomas Jefferson Memorial,Thomas Jefferson Memorial,Memorial,DC,NCR,JEFM,1
Mary McLeod Bethune Council House,Mary McLeod Bethune Council House National Historic Site,National Historic Site,DC,NCR,MABE,1
National Mall,National Mall,National Mall,DC,NCR,MALL,1
National Capital Parks,National Capital Parks,National Capital Parks,DC,NCR,NACA,1
Washington Monument,Washington Monument,Monument,DC,NCR,WAMO,1
World War II Memorial,World War II Memorial,Memorial,DC,NCR,WWII,1
World War I Memorial,World War I Memorial,Memorial,DC,NCR,WWIM,1
Antietam,Antietam National Battlefield,National Battlefield,MD,NCR,ANTI,1
"Arlington House, The Robert E. Lee Memorial","Arlington House, The Robert E. Lee Memorial",National Memorial,VA,NCR,ARHO,1
Catoctin Mountain,Catoctin Mountain Park,Park,MD,NCR,CATO,1
Carter G. Woodson Home,Carter G. Woodson Home National Historic Site,National Historic Site,DC,NCR,CAWO,1
Chesapeake & Ohio Canal,Chesapeake and Ohio Canal National Historical Park,National Historical Park,"DC,MD,WV",NCR,CHOH,1
Clara Barton,Clara Barton National Historic Site,National Historic Site,MD,NCR,CLBA,1
Constitution Gardens,Constitution Gardens,Park,DC,NCR,COGA,1
Ford's Theatre,Ford's Theatre National Historic Site,National Historic Site,DC,NCR,FOTH,1
Fort Washington,Fort Washington Park,Park,MD,NCR,FOWA,1
Franklin Delano Roosevelt,Franklin Delano Roosevelt Memorial,Memorial,DC,NCR,FRDE,1
Frederick Douglass,Frederick Douglass National Historic Site,National Historic Site,DC,NCR,FRDO,1
Greenbelt,Greenbelt Park,Park,MD,NCR,GREE,1
George Washington,George Washington Memorial Parkway,Memorial Parkway,DC,NCR,GWMP,1
Harpers Ferry,Harpers Ferry National Historical Park,National Historical Park,WV,NCR,HAFE,1
Harriet Tubman Underground Railroad,Harriet Tubman Underground Railroad,National Monument,MDL,NCR,HATU,1
Korean War Veterans,Korean War Veterans Memorial,Memorial,DC,NCR,KOWA,1
Lincoln,Lincoln Memorial,Memorial,DC,NCR,LINC,1
Lyndon Baines Johnson Memorial Grove on the Potomac,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,VA,NCR,LYBA,1
Mary McLeod Bethune Council House,Mary McLeod Bethune Council House National Historic Site,National Historic Site,DC,NCR,MAMC,1
Manassas,Manassas National Battlefield Park,National Battlefield Park,VA,NCR,MANA,1
"Martin Luther King, Jr.","Martin Luther King, Jr., Memorial",Memorial,DC,NCR,MLKM,1
Monocacy,Monocacy National Battlefield,National Battlefield,MD,NCR,MONO,1
National Mall & Memorial Parks,National Mall & Memorial Parks,Memorial,DC,NCR,NACC,1
National Mall,National Mall,Memorial,DC,NCR,NAMA,1
National World War II,National World War II,Memorial,DC,NCR,NWWM,1
Pennsylvania Avenue,Pennsylvania Avenue National Historic Site,National Historic Site,DC,NCR,PAAV,1
Piscataway,Piscataway Park,Park,MD,NCR,PISC,1
Potomac Heritage,Potomac Heritage,National Scenic Trail,"DC,MD,PA,VA",NCR,POHE,1
Prince William Forest,Prince William Forest Park,Park,VA,NCR,PRWI,1
Rock Creek,Rock Creek Park,Park,DC,NCR,ROCR,1
Theodore Roosevelt Island,Theodore Roosevelt Island,Park,VA,NCR,THIS,1
Thomas Jefferson,Thomas Jefferson Memorial,Memorial,DC,NCR,THJE,1
Vietnam Veterans,Vietnam Veterans Memorial,Memorial,DC,NCR,VIVE,1
Washington,Washington,Monument,DC,NCR,WASH,1
President's Park (White House),White House,Park,DC,NCR,WHHO,1
Wolf Trap National Park for the Performing Arts,Wolf Trap National Park for the Performing Arts,,VA,NCR,WOTR,1
Katahdin Woods And Waters,Katahdin Woods and Waters National Monument,National Monument,ME,NER,KAWW,1
Stonewall,Stonewall National Monument,National Monument,NY,NER,STON,1
Acadia,Acadia National Park,National Park,ME,NER,ACAD,1
Adams,Adams National Historical Park,National Historical Park,MA,NER,ADAM,1
African Burial Ground,African Burial Ground National Monument,National Monument,NY,NER,AFBG,1
Allegheny Portage Railroad,Allegheny Portage Railroad National Historic Site,National Historic Site,PA,NER,ALPO,1
Appomattox Court House,Appomattox Court House National Historical Park,National Historical Park,VA,NER,APCO,1
Appalachian,Appalachian,National Scenic Trail,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",NER,APPA,1
Assateague Island,Assateague Island National Seashore,National Seashore,"MD,VA",NER,ASIS,1
Bluestone,Bluestone National Scenic River,National Scenic River,WV,NER,BLUE,1
Boston African American,Boston African American National Historic Site,National Historic Site,MA,NER,BOAF,1
Boston Harbor Islands,Boston Harbor Islands National Recreation Area,National Recreation Area,MA,NER,BOHA,1
Boston,Boston National Historical Park,National Historical Park,MA,NER,BOST,1
Booker T Washington,Booker T. Washington National Monument,National Monument,VA,NER,BOWA,1
Castle Clinton,Castle Clinton National Monument,National Monument,NY,NER,CACL,1
Cape Cod,Cape Cod National Seashore,National Seashore,MA,NER,CACO,1
Cedar Creek & Belle Grove,Cedar Creek & Belle Grove,National Historical Park,VA,NER,CEBE,1
Colonial,Colonial National Historical Park,National Historical Park,VA,NER,COLO,1
Delaware,Delaware,National Scenic River,PA,NER,DELA,1
Delaware Water Gap,Delaware Water Gap National Recreation Area,National Recreation Area,PA,NER,DEWA,1
