Park Name,Park Full Name,Type of Unit,State,Reg,Alpha,Unit
Olympic,Olympic National Park,National Park,WA,PWR,OLYM,1
Oregon Caves,Oregon Caves National Monument and Preserve,National Monument,OR,PWR,ORCA,1
Pinnacles,Pinnacles National Park,National Park,CA,PWR,PINN,1
Port Chicago Naval Magazine,Port Chicago Naval Magazine National Memorial,National Memorial,CA,PWR,POCH,1
Point Reyes,Point Reyes National Seashore,National Seashore,CA,PWR,PORE,1
Puukohola Heiau,Pu'ukohola Heiau National Historic Site,National Historic Site,HI,PWR,PUHE,1
Pu`uhonua O Honaunau,Pu'uhonua o Honaunau National Historical Park,National Historical Park,HI,PWR,PUHO,1
Redwood,Redwood National Park,National and State Parks,CA,PWR,REDW,1
Ross Lake,Ross Lake National Recreation Area,National Recreation Area,WA,PWR,ROLA,1
Rosie the Riveter WWII Home Front,Rosie the Riveter/World War II Home Front National Historical Park,National Historical Park,CA,PWR,RORI,1
San Francisco Maritime,San Francisco Maritime National Historical Park,National Historical Park,CA,PWR,SAFR,1
San Juan Island,San Juan Island National Historical Park,National Historical Park,WA,PWR,SAJH,1
Santa Monica Mountains,Santa Monica Mountains National Recreation Area,National Recreation Area,CA,PWR,SAMO,1
Sequoia & Kings Canyon,Sequoia & Kings Canyon,National Parks,CA,PWR,SEKI,2
World War II Valor in the Pacific,World War II Valor in the Pacific,National Monument,HI,PWR,VALR,1
War In The Pacific,War in the Pacific National Historical Park,National Historical Park,GU,PWR,WAPA,1
Whiskeytown,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,CA,PWR,WHIS,1
Whitman Mission,Whitman Mission National Historic Site,National Historic Site,WA,PWR,WHMI,1
Yosemite,Yosemite National Park,National Park,CA,PWR,YOSE,1
Presidio,Presidio of San Francisco,Presidio,CA,PWR,PRSF,1
Obed Wild and Scenic River,Obed Wild and Scenic River,Wild & Scenic River,TN,SER,OBRI,1
Selma to Montgomery,Selma to Montgomery National Historic Trail,National Historic Trail,AL,SER,SEMO,1
Abraham Lincoln Birthplace,Abraham Lincoln Birthplace National Historical Park,National Historical Park,KY,SER,ABLI,1
Andersonville,Andersonville National Historic Site,National Historic Site,GA,SER,ANDE,1
Andrew Johnson,Andrew Johnson National Historic Site,National Historic Site,TN,SER,ANJO,1
Big Cypress,Big Cypress National Preserve,National Preserve,FL,SER,BICY,1
Biscayne,Biscayne National Park,National Park,FL,SER,BISC,1
Big South Fork,Big South Fork National River and Recreation Area,National River & Recreation Area,"KY,TN",SER,BISO,1
Blue Ridge,Blue Ridge Parkway,Parkway,"NC,VA",SER,BLRI,1
Brices Cross Roads,Brices Cross Roads,National Battlefield Site,MS,SER,BRCR,1
Buck Island Reef,Buck Island Reef National Monument,National Monument,VI,SER,BUIS,1
Cape Hatteras,Cape Hatteras National Seashore,National Seashore,NC,SER,CAHA,1
Cape Lookout,Cape Lookout National Seashore,National Seashore,NC,SER,CALO,1
Canaveral,Canaveral National Seashore,National Seashore,FL,SER,CANA,1
Cane River Creole,Cane River Creole National Historical Park,National Historical Park,LA,SER,CARI,1
Carl Sandburg Home,Carl Sandburg Home National Historic Site,National Historic Site,NC,SER,CARL,1
Castillo De San Marcos,Castillo de San Marcos National Monument,National Monument,FL,SER,CASA,1
Chattahoochee River,Chattahoochee River National Recreation Area,National Recreation Area,GA,SER,CHAT,1
Chickamauga & Chattanooga,Chickamauga and Chattanooga National Military Park,National Military Park,GA,SER,CHCH,1
Charles Pinckney,Charles Pinckney National Historic Site,National Historic Site,SC,SER,CHPI,1
Christiansted,Christiansted National Historic Site,National Historic Site,VI,SER,CHRI,1
Congaree,Congaree National Park,National Park,SC,SER,CONG,1
Cowpens,Cowpens National Battlefield,National Battlefield,SC,SER,COWP,1
Cumberland Gap,Cumberland Gap National Historical Park,National Historical Park,"KY, TN, VA",SER,CUGA,1
Cumberland Island,Cumberland Island National Seashore,National Seashore,GA,SER,CUIS,1
De Soto,De Soto National Memorial,National Memorial,FL,SER,DESO,1
Dry Tortugas,Dry Tortugas National Park,National Park,FL,SER,DRTO,1
Everglades,Everglades National Park,National Park,FL,SER,EVER,1
Fort Caroline,Fort Caroline National Memorial,National Memorial,FL,SER,FOCA,1
Fort Donelson,Fort Donelson National Battlefield,National Battlefield,TN,SER,FODO,1
Fort Frederica,Fort Frederica National Monument,National Monument,GA,SER,FOFR,1
Fort Matanzas,Fort Matanzas National Monument,National Monument,FL,SER,FOMA,1
Fort Pulaski,Fort Pulaski National Monument,National Monument,GA,SER,FOPU,1
Fort Raleigh,Fort Raleigh National Historic Site,National Historic Site,NC,SER,FORA,1
Fort Sumter,Fort Sumter and Fort Moultrie National Historical Park,National Monument,SC,SER,FOSU,1
Great Smoky Mountains,Great Smoky Mountains National Park,National Park,"TN,NC",SER,GRSM,1
Guilford Courthouse,Guilford Courthouse National Military Park,National Military Park,NC,SER,GUCO,1
Gulf Islands,Gulf Islands National Seashore,National Seashore,"FL,MS",SER,GUIS,1
Horseshoe Bend,Horseshoe Bend National Military Park,National Military Park,AL,SER,HOBE,1
New Orleans Jazz,New Orleans Jazz National Historical Park,National Historical Park,LA,SER,JAZZ,1
Jean Lafitte,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,LA,SER,JELA,1
Jimmy Carter,Jimmy Carter National Historical Park,National Historic Site,GA,SER,JICA,1
Kennesaw Mountain,Kennesaw Mountain National Battlefield Park,National Battlefield Park,GA,SER,KEMO,1
Kings Mountain,Kings Mountain National Military Park,National Military Park,SC,SER,KIMO,1
Little River Canyon,Little River Canyon National Preserve,National Preserve,AL,SER,LIRI,1
Mammoth Cave,Mammoth Cave National Park,National Park,KY,SER,MACA,1
Martin Luther King Jr,"Martin Luther King, Jr., National Historical Park",National Historic Site,GA,SER,MALU,1
Moores Creek,Moores Creek National Battlefield,National Battlefield,NC,SER,MOCR,1
Natchez,Natchez National Historical Park,National Historical Park,MS,SER,NATC,1
Natchez Trace,Natchez Trace Parkway,Parkway,"AL,MS,TN",SER,NATR,2
Ninety Six,Ninety Six National Historic Site,National Historic Site,SC,SER,NISI,1
Obed,Obed Wild and Scenic River,Wild & Scenic River,TN,SER,OBED,1
Ocmulgee,Ocmulgee Mounds National Historical Park,National Monument,GA,SER,OCMU,1
Poverty Point,Poverty Point,National Monument,LA,SER,POPO,1
Russell Cave,Russell Cave National Monument,National Monument,AL,SER,RUCA,1
San Juan,San Juan National Historic Site,National Historic Site,PR,SER,SAJU,1
Salt River Bay,Salt River Bay National Historical Park and Ecological Preserve,National Historic Park and Ecological Preserve,VI,SER,SARI,1
Shiloh,Shiloh National Military Park,National Military Park,TN,SER,SHIL,1
Stones River,Stones River National Battlefield,National Battlefield,TN,SER,STRI,1
Timucuan,Timucuan Ecological and Historic Preserve,Ecological & Historic Preserve,FL,SER,TIMU,1
Tuskegee Airmen,Tuskegee Airmen National Historic Site,National Historic Site,AL,SER,TUAI,1
Tuskegee Institute,Tuskegee Institute National Historic Site,National Historic Site,AL,SER,TUIN,1
Tupelo,Tupelo,National Battlefield,MS,SER,TUPE,1
Vicksburg,Vicksburg National Military Park,National Military Park,MS,SER,VICK,1
Virgin Islands Coral Reef,Virgin Islands Coral Reef,National Monument,VI,SER,VICR,1
Virgin Islands,Virgin Islands National Park,National Park,VI,SER,VIIS,1
Wright Brothers,Wright Brothers National Memorial,National Memorial,NC,SER,WRBR,1
Chesapeake Bay,Chesapeake Bay,Gateways and Watertrails Network,"DC, MD, NY, PA, VA, WV",NER,CBGN,1
Lower Delaware,Lower Delaware,National Scenic River,"PA, NJ",NER,LODE,1
Amache,Amache National Historic Site,National Historic Site,CO,IMR,AMCH,1
Yorktown,Yorktown Battlefield,Battlefield,VA,NER,YORK,1
New Jersey Pinelands,New Jersey Pinelands National Reserve,National Reserve,NJ,NER,PINE,1
Roosevelt Campobello,Roosevelt Campobello International Park,International Park,ME,NER,ROCA,1
Grand Canyon-Parashant,Grand Canyon-Parashant National Monument,National Monument,AZ,IMR,PARA,1
Alcatraz Island,Alcatraz Island,Island,CA,PWR,ALCA,1
Natchez Trace,Natchez Trace National Scenic Trail,National Scenic Trail,"AL, MS, TN",SER,NATT,1
Historic Jamestowne,Historic Jamestowne,National Historical Park,VA,NER,JAME,1
Death Valley,Death Valley National Park,National Park,"CA, NV",PWR,DEVA,1
