route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
BA,BA_Fall,Fall_T01,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T02,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T03,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T04,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T05,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T06,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T07,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T08,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T09,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T10,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T11,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T12,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T13,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T14,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T15,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T16,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T17,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T18,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T19,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T20,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T21,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T22,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T23,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T24,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T25,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T26,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T27,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T28,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T29,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T30,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T31,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T32,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T33,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T34,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T35,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T36,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T37,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T38,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T39,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T40,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T41,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T42,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T43,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T44,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T45,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T46,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T47,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T48,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T49,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T50,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T51,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T52,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T53,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T54,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T55,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T56,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T57,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T58,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T59,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T60,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T61,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T62,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T63,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T64,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T65,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T66,Bryce Canyon Shuttle,1,,BA,,
BA,BA_Fall,Fall_T67,Bryce Canyon Shuttle,1,,BA,,
