trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
village_winter_T08,,,14,14,,,,,,8.614,0
village_winter_T08,11:10:00,11:10:00,1,15,,,,,,10.432,1
village_winter_T09,10:30:00,10:30:00,1,1,,,,,,0.0,1
village_winter_T09,,,2,2,,,,,,1.367,0
village_winter_T09,,,3,3,,,,,,1.88,0
village_winter_T09,,,4,4,,,,,,3.203,0
village_winter_T09,,,5,5,,,,,,3.569,0
village_winter_T09,,,6,6,,,,,,3.814,0
village_winter_T09,,,7,7,,,,,,4.369,0
village_winter_T09,,,8,8,,,,,,4.704,0
village_winter_T09,,,9,9,,,,,,5.364,0
village_winter_T09,,,10,10,,,,,,5.849,0
village_winter_T09,,,11,11,,,,,,6.849,0
village_winter_T09,,,12,12,,,,,,7.329,0
village_winter_T09,,,13,13,,,,,,7.891,0
village_winter_T09,,,14,14,,,,,,8.614,0
village_winter_T09,11:20:00,11:20:00,1,15,,,,,,10.432,1
village_winter_T10,10:40:00,10:40:00,1,1,,,,,,0.0,1
village_winter_T10,,,2,2,,,,,,1.367,0
village_winter_T10,,,3,3,,,,,,1.88,0
village_winter_T10,,,4,4,,,,,,3.203,0
village_winter_T10,,,5,5,,,,,,3.569,0
village_winter_T10,,,6,6,,,,,,3.814,0
village_winter_T10,,,7,7,,,,,,4.369,0
village_winter_T10,,,8,8,,,,,,4.704,0
village_winter_T10,,,9,9,,,,,,5.364,0
village_winter_T10,,,10,10,,,,,,5.849,0
village_winter_T10,,,11,11,,,,,,6.849,0
village_winter_T10,,,12,12,,,,,,7.329,0
village_winter_T10,,,13,13,,,,,,7.891,0
village_winter_T10,,,14,14,,,,,,8.614,0
village_winter_T10,11:30:00,11:30:00,1,15,,,,,,10.432,1
village_winter_T11,10:50:00,10:50:00,1,1,,,,,,0.0,1
village_winter_T11,,,2,2,,,,,,1.367,0
village_winter_T11,,,3,3,,,,,,1.88,0
village_winter_T11,,,4,4,,,,,,3.203,0
village_winter_T11,,,5,5,,,,,,3.569,0
village_winter_T11,,,6,6,,,,,,3.814,0
village_winter_T11,,,7,7,,,,,,4.369,0
village_winter_T11,,,8,8,,,,,,4.704,0
village_winter_T11,,,9,9,,,,,,5.364,0
village_winter_T11,,,10,10,,,,,,5.849,0
village_winter_T11,,,11,11,,,,,,6.849,0
village_winter_T11,,,12,12,,,,,,7.329,0
village_winter_T11,,,13,13,,,,,,7.891,0
village_winter_T11,,,14,14,,,,,,8.614,0
village_winter_T11,11:40:00,11:40:00,1,15,,,,,,10.432,1
village_winter_T12,11:00:00,11:00:00,1,1,,,,,,0.0,1
village_winter_T12,,,2,2,,,,,,1.367,0
village_winter_T12,,,3,3,,,,,,1.88,0
village_winter_T12,,,4,4,,,,,,3.203,0
village_winter_T12,,,5,5,,,,,,3.569,0
village_winter_T12,,,6,6,,,,,,3.814,0
village_winter_T12,,,7,7,,,,,,4.369,0
village_winter_T12,,,8,8,,,,,,4.704,0
village_winter_T12,,,9,9,,,,,,5.364,0
village_winter_T12,,,10,10,,,,,,5.849,0
village_winter_T12,,,11,11,,,,,,6.849,0
village_winter_T12,,,12,12,,,,,,7.329,0
village_winter_T12,,,13,13,,,,,,7.891,0
village_winter_T12,,,14,14,,,,,,8.614,0
village_winter_T12,11:50:00,11:50:00,1,15,,,,,,10.432,1
village_winter_T13,11:10:00,11:10:00,1,1,,,,,,0.0,1
village_winter_T13,,,2,2,,,,,,1.367,0
village_winter_T13,,,3,3,,,,,,1.88,0
village_winter_T13,,,4,4,,,,,,3.203,0
village_winter_T13,,,5,5,,,,,,3.569,0
village_winter_T13,,,6,6,,,,,,3.814,0
village_winter_T13,,,7,7,,,,,,4.369,0
village_winter_T13,,,8,8,,,,,,4.704,0
village_winter_T13,,,9,9,,,,,,5.364,0
village_winter_T13,,,10,10,,,,,,5.849,0
village_winter_T13,,,11,11,,,,,,6.849,0
village_winter_T13,,,12,12,,,,,,7.329,0
village_winter_T13,,,13,13,,,,,,7.891,0
village_winter_T13,,,14,14,,,,,,8.614,0
village_winter_T13,12:00:00,12:00:00,1,15,,,,,,10.432,1
village_winter_T14,11:20:00,11:20:00,1,1,,,,,,0.0,1
village_winter_T14,,,2,2,,,,,,1.367,0
village_winter_T14,,,3,3,,,,,,1.88,0
village_winter_T14,,,4,4,,,,,,3.203,0
village_winter_T14,,,5,5,,,,,,3.569,0
village_winter_T14,,,6,6,,,,,,3.814,0
village_winter_T14,,,7,7,,,,,,4.369,0
village_winter_T14,,,8,8,,,,,,4.704,0
village_winter_T14,,,9,9,,,,,,5.364,0
village_winter_T14,,,10,10,,,,,,5.849,0
village_winter_T14,,,11,11,,,,,,6.849,0
village_winter_T14,,,12,12,,,,,,7.329,0
village_winter_T14,,,13,13,,,,,,7.891,0
village_winter_T14,,,14,14,,,,,,8.614,0
village_winter_T14,12:10:00,12:10:00,1,15,,,,,,10.432,1
village_winter_T15,11:30:00,11:30:00,1,1,,,,,,0.0,1
village_winter_T15,,,2,2,,,,,,1.367,0
village_winter_T15,,,3,3,,,,,,1.88,0
village_winter_T15,,,4,4,,,,,,3.203,0
village_winter_T15,,,5,5,,,,,,3.569,0
village_winter_T15,,,6,6,,,,,,3.814,0
village_winter_T15,,,7,7,,,,,,4.369,0
village_winter_T15,,,8,8,,,,,,4.704,0
village_winter_T15,,,9,9,,,,,,5.364,0
village_winter_T15,,,10,10,,,,,,5.849,0
village_winter_T15,,,11,11,,,,,,6.849,0
village_winter_T15,,,12,12,,,,,,7.329,0
village_winter_T15,,,13,13,,,,,,7.891,0
village_winter_T15,,,14,14,,,,,,8.614,0
village_winter_T15,12:20:00,12:20:00,1,15,,,,,,10.432,1
village_winter_T16,11:40:00,11:40:00,1,1,,,,,,0.0,1
village_winter_T16,,,2,2,,,,,,1.367,0
village_winter_T16,,,3,3,,,,,,1.88,0
village_winter_T16,,,4,4,,,,,,3.203,0
village_winter_T16,,,5,5,,,,,,3.569,0
village_winter_T16,,,6,6,,,,,,3.814,0
village_winter_T16,,,7,7,,,,,,4.369,0
village_winter_T16,,,8,8,,,,,,4.704,0
village_winter_T16,,,9,9,,,,,,5.364,0
village_winter_T16,,,10,10,,,,,,5.849,0
village_winter_T16,,,11,11,,,,,,6.849,0
village_winter_T16,,,12,12,,,,,,7.329,0
village_winter_T16,,,13,13,,,,,,7.891,0
village_winter_T16,,,14,14,,,,,,8.614,0
village_winter_T16,12:30:00,12:30:00,1,15,,,,,,10.432,1
village_winter_T17,11:50:00,11:50:00,1,1,,,,,,0.0,1
village_winter_T17,,,2,2,,,,,,1.367,0
village_winter_T17,,,3,3,,,,,,1.88,0
village_winter_T17,,,4,4,,,,,,3.203,0
village_winter_T17,,,5,5,,,,,,3.569,0
village_winter_T17,,,6,6,,,,,,3.814,0
village_winter_T17,,,7,7,,,,,,4.369,0
village_winter_T17,,,8,8,,,,,,4.704,0
village_winter_T17,,,9,9,,,,,,5.364,0
village_winter_T17,,,10,10,,,,,,5.849,0
village_winter_T17,,,11,11,,,,,,6.849,0
village_winter_T17,,,12,12,,,,,,7.329,0
village_winter_T17,,,13,13,,,,,,7.891,0
village_winter_T17,,,14,14,,,,,,8.614,0
village_winter_T17,12:40:00,12:40:00,1,15,,,,,,10.432,1
village_winter_T18,12:00:00,12:00:00,1,1,,,,,,0.0,1
