ID,ZONE NAME,DATE,HOURS,HOUR GROUP,FOTSC SUM
4702,Ocean Drive,2021-05-05,6,6-9,8.0
4702,Ocean Drive,2021-05-05,7,6-9,8.0
4702,Ocean Drive,2021-05-05,8,6-9,16.0
4702,Ocean Drive,2021-05-05,9,6-9,18.0
4702,Ocean Drive,2021-05-05,10,9-12,24.0
4702,Ocean Drive,2021-05-05,11,9-12,38.0
4702,Ocean Drive,2021-05-05,12,9-12,36.0
4702,Ocean Drive,2021-05-05,13,12-15,33.0
4702,Ocean Drive,2021-05-05,14,12-15,22.0
4702,Ocean Drive,2021-05-05,15,12-15,22.0
4702,Ocean Drive,2021-05-05,16,15-18,27.0
4702,Ocean Drive,2021-05-05,17,15-18,16.0
4702,Ocean Drive,2021-05-05,18,15-18,8.0
4702,Ocean Drive,2021-05-05,19,18-21,1.0
4702,Ocean Drive,2021-05-05,20,18-21,0.0
4702,Ocean Drive,2021-05-05,21,18-21,0.0
4702,Ocean Drive,2021-05-05,22,,1.0
4702,Ocean Drive,2021-05-05,23,,0.0
4702,Ocean Drive,2021-05-06,0,,0.0
4702,Ocean Drive,2021-05-06,1,,1.0
4702,Ocean Drive,2021-05-06,2,,0.0
4702,Ocean Drive,2021-05-06,3,,0.0
4702,Ocean Drive,2021-05-06,4,,0.0
4702,Ocean Drive,2021-05-06,5,,3.0
4702,Ocean Drive,2021-05-06,6,6-9,4.0
4702,Ocean Drive,2021-05-06,7,6-9,16.0
4702,Ocean Drive,2021-05-06,8,6-9,23.0
4702,Ocean Drive,2021-05-06,9,6-9,60.0
4702,Ocean Drive,2021-05-06,10,9-12,66.0
4702,Ocean Drive,2021-05-06,11,9-12,63.0
4702,Ocean Drive,2021-05-06,12,9-12,62.0
4702,Ocean Drive,2021-05-06,13,12-15,66.0
4702,Ocean Drive,2021-05-06,14,12-15,46.0
4702,Ocean Drive,2021-05-06,15,12-15,51.0
4702,Ocean Drive,2021-05-06,16,15-18,39.0
4702,Ocean Drive,2021-05-06,17,15-18,34.0
4702,Ocean Drive,2021-05-06,18,15-18,28.0
4702,Ocean Drive,2021-05-06,19,18-21,15.0
4702,Ocean Drive,2021-05-06,20,18-21,6.0
4702,Ocean Drive,2021-05-06,21,18-21,2.0
4702,Ocean Drive,2021-05-06,22,,6.0
4702,Ocean Drive,2021-05-06,23,,0.0
4702,Ocean Drive,2021-05-07,0,,3.0
4702,Ocean Drive,2021-05-07,1,,0.0
4702,Ocean Drive,2021-05-07,2,,0.0
4702,Ocean Drive,2021-05-07,3,,0.0
4702,Ocean Drive,2021-05-07,4,,4.0
