route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
lowertown,est,lower_town_est_T24,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T25,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T26,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T27,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T28,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T29,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T30,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T31,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T32,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T33,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T34,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,est,lower_town_est_T35,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T01,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T02,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T03,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T04,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T05,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T06,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T07,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T08,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T09,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T10,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T11,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T12,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T13,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T14,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T15,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T16,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T17,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T18,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T19,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T20,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T21,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T22,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T23,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T24,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T25,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T26,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T27,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T28,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T29,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T30,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T31,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
